© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo14 vs Doxo3	E2F2	-1.139	transcription regulator	Inhibited	-3.242	bias	2.50E-25	BIRC5,CCNA2,CCNB1,CCNB2,CDC45,CDC6,CDCA2,CDKN2C,DHFR,E2F1,FOXM1,MCM10,MCM2,MCM5,MCM6,MCM7,MYBL2,ORC1,RAD51,RRM2	104 (18)
Palbo14 vs Cycling0	RBL1	-2.694	transcription regulator	Activated	3.844	bias	3.72E-25	AURKB,CCNA2,CDC25A,CDC6,CDK1,CDK2,DHFR,E2F1,F3,MCM10,MCM2,MCM3,MCM5,MCM6,MCM7,MYBL2,NEK2,ORC1,PCNA,PLK1,RBL1,RRM1,RRM2,TP73,TYMS	216 (17)
Palbo28 vs Palbo3	MYOD1	 	transcription regulator	Activated	3.628	bias	8.18E-25	BCL2,CCNB2,CDC20,CDC6,CENPE,CEP55,DEPDC1,DLGAP5,E2F2,ETV4,FAM83D,FOSL1,FOXM1,GINS2,HJURP,KIF14,KIF18B,KIF2C,KIF4A,KNL1,NCAPG,PLK1,POLQ,RRM2,SHCBP1,SPC24,TRIP13,TROAP	86 (5)
Palbo28 vs Palbo3	NUPR1	 	transcription regulator	Inhibited	-5.916	 	8.96E-25	APOBEC3B,ASPM,ATAD5,AURKA,BLM,BUB1,CCNB2,CDC25C,CDCA2,CDCA8,CENPI,ERCC6L,ESPL1,FAM72C/FAM72D,FANCD2,GTSE1,H1-5,H2AC17,HJURP,KIF2C,KIFC1,KNL1,MCM10,MTFR2,NEIL3,PLK1,POLQ,RAD51,SHCBP1,SLC16A10,SLF1,SPC24,SPC25,STIL,TICRR,XRCC2	 
Doxo21 vs Doxo3	TOX	 	transcription regulator	Inhibited	-4.264	 	1.07E-24	BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25C,CDKN2C,ESPL1,EZH2,FEN1,LEF1,MAD2L1,MCM5,MCM7,PLK1,RAD51,RAD54L,RBL1,RFC2,TTK	 
Doxo14 vs Cycling0	RRP1B	 	transcription regulator	 	 	 	2.13E-24	AURKA,BIRC5,BRCA1,CCNA2,CCNB2,CDC20,CDC25C,CDK1,CYP24A1,DBF4,DHFR,ESPL1,FANCB,FEN1,KIF11,MCM2,MCM3,MCM4,MCM5,MCM6,ORC1,PLK1,RBL1,TOP2A	 
Doxo14 vs Cycling0	GLIS3	 	transcription regulator	Activated	3.000	bias	2.13E-24	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CDCA5,CDK1,CDKN3,CENPA,CENPE,CENPF,CENPH,CENPI,CKAP2,E2F1,IQGAP3,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	 
Doxo21 vs Cycling0	TOX	 	transcription regulator	Inhibited	-4.264	 	3.59E-24	BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25C,CDKN2C,ESPL1,EZH2,FEN1,LEF1,MAD2L1,MCM5,MCM7,PLK1,RAD51,RAD54L,RBL1,RFC2,TTK	 
Doxo14 vs Doxo3	MITF	 	transcription regulator	Inhibited	-5.196	bias	1.41E-23	AURKB,BRCA1,CCNB1,CCNF,CDC25B,CDCA3,CDCA8,CDT1,CENPH,CENPM,CENPO,CEP55,CHAF1A,CHTF18,ESPL1,HAUS8,KIF20A,KIFC1,LIG1,MCM2,MCM5,MCM6,RECQL4,SPAG5,SPC24,TACC3,UBE2C	99 (7)
Palbo28 vs Palbo3	TBX2	 	transcription regulator	Activated	3.900	 	2.05E-23	ANLN,ASF1B,AURKA,AURKB,BUB1,CCNB1,CDC6,CDCA5,CDT1,CKS1B,E2F1,EZH2,FOXM1,MCM2,MCM5,PKMYT1,PLK1,PRC1,SGO1	101 (17)
Doxo21 vs Doxo3	GLIS3	 	transcription regulator	Activated	3.000	bias	2.45E-23	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CDCA5,CDK1,CDKN3,CENPA,CENPE,CENPF,CENPH,CENPI,CKAP2,E2F1,E2F8,IQGAP3,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	 
Doxo14 vs Doxo3	CCND1	 	transcription regulator	Inhibited	-4.085	 	2.53E-23	BIRC5,BRCA1,BRIP1,CCNA2,CDC45,CDC6,CDCA2,CDCA7,CDCA8,CDKN2C,CENPH,CENPN,CEP55,CLSPN,DEPDC1,DTL,E2F1,FOXM1,HJURP,KIF20A,KIF2C,KNL1,MCM10,MCM7,PCLAF,RAD51,RMI2,RRM2,UHRF1	111 (19)
Doxo21 vs Doxo3	E2F6	 	transcription regulator	Activated	3.357	bias	3.87E-23	BRCA1,CDC25A,CDC45,CDC6,CDC7,DDX11,DHFR,E2F1,E2F2,GINS2,GMNN,LIG1,MCM2,MCM3,MCM5,PCLAF,POLA2,RAD51,RAD51AP1,RFC4,RRM2	186 (13)
Doxo14 vs Doxo3	MYOD1	 	transcription regulator	Inhibited	-3.761	bias	7.27E-23	BRCA1,BUB1B,CCNB2,CDC20,CDC6,CDCA3,CEP55,DEPDC1,DHFR,DLGAP5,E2F2,ETV4,FOXM1,GINS2,HJURP,KIF18B,KIF2C,KNL1,PBK,PCLAF,RBM38,RRM2,SHCBP1,SPC24,TOP2A,TROAP	101 (9)
Palbo28 vs Cycling0	RBL1	-1.998	transcription regulator	Activated	4.132	bias	7.66E-23	AURKB,CCNA2,CDC25A,CDC6,CDK1,CDK2,DHFR,E2F1,MCM10,MCM2,MCM3,MCM6,MCM7,MYBL2,NEK2,ORC1,PCNA,PLK1,RBL1,RRM1,RRM2,TP73,TYMS	208 (17)
Palbo3 vs Cycling0	TOX	 	transcription regulator	Inhibited	-4.264	 	8.44E-23	BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25C,CDKN2C,ESPL1,EZH2,FEN1,LEF1,MAD2L1,MCM5,MCM7,PLK1,RAD51,RAD54L,RBL1,RFC2,TTK	 
Doxo21 vs Cycling0	GLIS3	 	transcription regulator	Activated	3.000	bias	9.47E-23	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CDCA5,CDK1,CDKN3,CENPA,CENPE,CENPF,CENPH,CENPI,CKAP2,E2F1,E2F8,IQGAP3,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	153 (3)
Doxo21 vs Cycling0	E2F6	 	transcription regulator	Activated	3.357	bias	1.22E-22	BRCA1,CDC25A,CDC45,CDC6,CDC7,DDX11,DHFR,E2F1,E2F2,GINS2,GMNN,LIG1,MCM2,MCM3,MCM5,PCLAF,POLA2,RAD51,RAD51AP1,RFC4,RRM2	193 (12)
Palbo14 vs Cycling0	TOX	 	transcription regulator	Inhibited	-4.264	 	1.49E-22	BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25C,CDKN2C,ESPL1,EZH2,FEN1,LEF1,MAD2L1,MCM5,MCM7,PLK1,RAD51,RAD54L,RBL1,RFC2,TTK	 
Doxo21 vs Doxo3	FOXO3	 	transcription regulator	 	0.884	 	3.44E-22	AURKA,BIRC5,BUB1B,CCNB1,CCNB2,CCNE2,CDC20,CDC45,CDC6,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,EXO1,FABP5,FBXO5,FOXM1,GMNN,IRS1,KIF15,KIF2C,MCM2,MCM4,MCM7,MKI67,MXD3,NCAPD2,NCAPG2,PBK,PCNA,PLK1,PTTG1,SAC3D1,SKA1,SPAG5,TPX2,UBE2C,ZWINT	234 (17)
Doxo3 vs Cycling0	GLIS3	 	transcription regulator	Activated	2.828	bias	4.47E-22	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CENPA,CENPE,CENPF,CENPI,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	 
Doxo14 vs Doxo3	TFEB	 	transcription regulator	Inhibited	-5.359	bias	9.75E-22	BUB1B,CCNB1,CCNB2,CDC45,CDC6,CDT1,CENPU,CHTF18,CLSPN,EXO1,GINS1,HMMR,HOPX,KIF23,MCM10,MCM5,MCM7,MYBL2,ORC1,PKMYT1,PLK4,PRIM1,PTTG1,RAD51,RECQL4,RFC3,RRM2,TMPO,TOP2A,ZWINT	70 (7)
Palbo28 vs Cycling0	TOX	 	transcription regulator	Inhibited	-4.146	 	1.35E-21	BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25C,CDKN2C,ESPL1,EZH2,FEN1,LEF1,MAD2L1,MCM7,PLK1,RAD51,RAD54L,RBL1,RFC2,TTK	 
Palbo28 vs Palbo3	E2F2	2.216	transcription regulator	Activated	2.351	bias	1.41E-21	BCL2,BIRC5,CCNB1,CCNB2,CDC45,CDC6,CDCA2,E2F1,EZH2,FOXM1,MCM10,MCM2,MCM5,MYB,MYBL2,ORC1,RAD51,RRM2	104 (20)
Palbo28 vs Cycling0	GLIS3	 	transcription regulator	Activated	3.000	bias	1.58E-21	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CDCA5,CDK1,CDKN3,CENPA,CENPE,CENPF,CENPH,CENPI,CKAP2,E2F1,E2F8,IQGAP3,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	158 (3)
Palbo3 vs Cycling0	E2F6	 	transcription regulator	Activated	3.357	bias	2.46E-21	BRCA1,CDC25A,CDC45,CDC6,CDC7,DDX11,DHFR,E2F1,E2F2,GINS2,GMNN,LIG1,MCM2,MCM3,MCM5,PCLAF,POLA2,RAD51,RAD51AP1,RFC4,RRM2	203 (12)
Doxo21 vs Cycling0	FOXO3	 	transcription regulator	 	0.884	 	2.50E-21	AURKA,BIRC5,BUB1B,CCNB1,CCNB2,CCNE2,CDC20,CDC45,CDC6,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,EXO1,FABP5,FBXO5,FOXM1,GMNN,IRS1,KIF15,KIF2C,MCM2,MCM4,MCM7,MKI67,MXD3,NCAPD2,NCAPG2,PBK,PCNA,PLK1,PTTG1,SAC3D1,SKA1,SPAG5,TPX2,UBE2C,ZWINT	247 (18)
Doxo14 vs Doxo3	NUPR1	 	transcription regulator	Activated	5.657	bias	3.00E-21	APOBEC3B,ARHGAP11A,BRCA1,BUB1B,CCNA2,CCNB2,CCNF,CDCA2,CDCA3,CDCA8,ERCC6L,ESPL1,EXO1,FAM111B,FAM72C/FAM72D,FIRRM,GINS1,GTSE1,H1-5,HJURP,KIF20A,KIF23,KIF2C,KIFC1,KNL1,LMNB1,MCM10,RAD51,SHCBP1,SPAG5,SPC24,TMPO	 
Doxo3 vs Cycling0	MYOD1	 	transcription regulator	Inhibited	-3.357	bias	3.13E-21	BUB1B,CCNB2,CDC20,CDCA3,CENPE,CENPF,DEPDC1,DLGAP5,E2F2,FAM83D,KIF14,KIF18B,KIF4A,NCAPH,PBK,PLK1,RACGAP1,TOP2A,TPX2,TRIP13,TROAP	33 (2)
Palbo3 vs Cycling0	GLIS3	 	transcription regulator	Activated	3.000	bias	3.21E-21	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CDCA5,CDK1,CDKN3,CENPA,CENPE,CENPF,CENPH,CENPI,CKAP2,E2F1,E2F8,IQGAP3,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	160 (3)
Doxo14 vs Doxo3	YY1	 	transcription regulator	 	-1.051	 	3.45E-21	AURKB,BIRC5,BRCA1,BUB1B,CCNA2,CCNB1,CCNB2,CDC6,CDCA3,CDKN2C,CENPA,CENPH,FOXM1,KIF20A,KIF23,KIF2C,LMNB1,MAD2L1,MCM5,MCM6,MCM7,MXD3,PRC1,RAD51,TACC3,TNFRSF13C,TOP2A,UHRF1	107 (22)
Palbo28 vs Palbo3	E2F3	 	transcription regulator	Activated	2.606	bias	3.85E-21	BIRC5,CCNB1,CCNB2,CDC45,CDC6,E2F1,E2F2,EZH2,MCM10,MCM2,MCM5,mir-25 (includes others),MYB,MYBL2,ORC1,PLK1,PRC1,PTN,RAD51,RRM2,TK1,TP73,UBE2C	93 (16)
Palbo14 vs Cycling0	E2F6	 	transcription regulator	Activated	3.357	bias	4.23E-21	BRCA1,CDC25A,CDC45,CDC6,CDC7,DDX11,DHFR,E2F1,E2F2,GINS2,GMNN,LIG1,MCM2,MCM3,MCM5,PCLAF,POLA2,RAD51,RAD51AP1,RFC4,RRM2	206 (12)
Palbo14 vs Cycling0	GLIS3	 	transcription regulator	Activated	3.000	bias	6.04E-21	BIRC5,CCNB1,CCNB2,CDC25C,CDCA2,CDCA3,CDCA5,CDK1,CDKN3,CENPA,CENPE,CENPF,CENPH,CENPI,CKAP2,E2F1,E2F8,IQGAP3,KIF11,KIF23,MELK,PBK,PLK1,PRC1,UBE2C	161 (3)
Doxo3 vs Cycling0	NUPR1	 	transcription regulator	Activated	5.000	 	1.09E-20	ANP32E,ARHGAP11A,ASPM,AURKA,BUB1,BUB1B,CCNA2,CCNB2,CCNF,CDC25C,CDCA2,CDCA3,CDCA8,CENPI,CKAP2L,ERCC6L,FAM72C/FAM72D,KIF11,KIF20A,KIF23,LBR,LMNB1,MMS22L,PLK1,SPAG5,ZNF488	 
Doxo21 vs Cycling0	E2F7	 	transcription regulator	 	1.980	bias	1.19E-20	CCNA2,CCNB1,CCNE2,CDC6,CDK1,DHFR,E2F1,E2F2,E2F8,ECT2,KIF23,MCM2,MYBL2,RACGAP1	 
Doxo14 vs Cycling0	RBL1	-1.780	transcription regulator	Activated	3.889	bias	1.25E-20	AURKB,CCNA2,CDK1,CDK2,DHFR,E2F1,MCM10,MCM2,MCM3,MCM5,MCM6,MCM7,MYBL2,NEK2,ORC1,PLK1,RBL1,RRM2,TYMS	175 (17)
Doxo14 vs Cycling0	MYBL2	-1.411	transcription regulator	Inhibited	-3.919	bias	1.37E-20	AURKA,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC25B,CDCA3,CDK1,CDK2,CENPE,E2F1,FOXM1,MYBL2,PLK1,RRM2,TOP2A,UBE2C	130 (10)
Doxo3 vs Cycling0	TP53	 	transcription regulator	Activated	4.524	 	1.91E-20	ANLN,ARHGAP11A,ASPM,AURKA,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNF,CDC20,CDC25C,CENPA,CENPE,CENPF,CKS2,CSF1R,DBF4,DEPDC1,DEPDC1B,DLGAP5,E2F2,FAM83D,H2AX,HMGB2,HMMR,IRS1,KIF20A,KIF23,KPNA2,LBR,LMNB1,MELK,MIS18A,NCAPH,NEK2,PBK,PLK1,PRC1,PRR11,RACGAP1,SMC4,TOP2A,TPX2,TRIM6,TTK,UBE2C	64 (15)
Doxo21 vs Cycling0	MYC	 	transcription regulator	Inhibited	-7.342	bias	2.33E-20	ARHGAP11A,AURKB,BCL2,BIRC5,BRCA1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDC25A,CDC25B,CDC25C,CDC7,CDCA7,CDK1,CDK2,CDKN3,CKS2,CNTRL,CSF1R,CSRP2,DDX11,DEK,DEPDC1,DHFR,DLGAP5,E2F1,E2F2,EZH2,FABP5,FBL,FOXM1,H2AZ1,HMGN2,IRS1,KIF20A,KIF2C,MAD2L1,MCM2,MCM5,MCM6,MCM7,mir-25 (includes others),MKI67,MTFR2,MYBL2,NEK2,ODC1,PBK,PCNA,PLK1,PRR11,PTHLH,PTMA,PTN,RAD51,RANBP1,RRM2,SHMT1,SPC24,STMN1,TFAP4,TMEM97,TP73,TPX2,TYMS,UBE2C,UBE2S,WNT7B,XRCC3	240 (16)
Doxo21 vs Doxo3	MYBL2	-3.329	transcription regulator	Inhibited	-4.029	bias	2.96E-20	AURKA,BCL2,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC25B,CDCA3,CDK1,CDK2,CENPE,E2F1,FOXM1,MYBL2,PLK1,RRM2,TOP2A,UBE2C	175 (14)
Doxo3 vs Cycling0	TCF3	 	transcription regulator	Activated	3.357	 	3.49E-20	ANLN,AURKA,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC20,CDCA3,CKS2,CSF1R,ECT2,H2AX,HMGB2,HMMR,KIF11,KIF4A,NEK2,NUF2,PLK4,PRC1,RACGAP1,TOP2A,TTK	 
Palbo28 vs Cycling0	E2F6	 	transcription regulator	Activated	3.208	bias	3.78E-20	BRCA1,CDC25A,CDC45,CDC6,CDC7,DDX11,DHFR,E2F1,E2F2,GINS2,GMNN,LIG1,MCM2,MCM3,PCLAF,POLA2,RAD51,RAD51AP1,RFC4,RRM2	198 (12)
Palbo3 vs Cycling0	FOXO3	 	transcription regulator	 	1.122	 	5.73E-20	AURKA,BIRC5,BUB1B,CCNB1,CCNB2,CCNE2,CDC20,CDC45,CDC6,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,EXO1,FABP5,FBXO5,FOXM1,GMNN,IRS1,KIF15,KIF2C,MCM2,MCM4,MCM7,MKI67,MXD3,NCAPD2,NCAPG2,PBK,PCNA,PLK1,PTTG1,S1PR3,SAC3D1,SKA1,SPAG5,TPX2,UBE2C,ZWINT	262 (18)
Palbo28 vs Cycling0	E2F7	 	transcription regulator	 	1.980	bias	6.04E-20	CCNA2,CCNB1,CCNE2,CDC6,CDK1,DHFR,E2F1,E2F2,E2F8,ECT2,KIF23,MCM2,MYBL2,RACGAP1	 
Doxo21 vs Doxo3	MYC	 	transcription regulator	Inhibited	-7.143	bias	6.75E-20	ARHGAP11A,AURKB,BCL2,BIRC5,BRCA1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDC25A,CDC25B,CDC25C,CDC7,CDCA7,CDK1,CDK2,CDKN3,CKS2,CNTRL,CSRP2,DDX11,DEK,DEPDC1,DHFR,DLGAP5,E2F1,E2F2,EZH2,FABP5,FBL,FOXM1,H2AZ1,HMGN2,IRS1,KIF20A,KIF2C,MAD2L1,MCM2,MCM5,MCM6,MCM7,MKI67,MTFR2,MYBL2,NEK2,ODC1,PBK,PCNA,PEG10,PLK1,PTHLH,PTMA,PTN,RAD51,RANBP1,RRM2,SHMT1,SPC24,STMN1,TFAP4,TMEM97,TP73,TPX2,TYMS,UBE2C,UBE2S,XRCC3	214 (17)
Doxo21 vs Cycling0	MYBL2	-3.154	transcription regulator	Inhibited	-4.029	bias	8.31E-20	AURKA,BCL2,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC25B,CDCA3,CDK1,CDK2,CENPE,E2F1,FOXM1,MYBL2,PLK1,RRM2,TOP2A,UBE2C	182 (14)
Palbo3 vs Cycling0	E2F7	 	transcription regulator	 	1.980	bias	9.09E-20	CCNA2,CCNB1,CCNE2,CDC6,CDK1,DHFR,E2F1,E2F2,E2F8,ECT2,KIF23,MCM2,MYBL2,RACGAP1	 
Palbo14 vs Cycling0	E2F7	 	transcription regulator	 	1.980	bias	1.31E-19	CCNA2,CCNB1,CCNE2,CDC6,CDK1,DHFR,E2F1,E2F2,E2F8,ECT2,KIF23,MCM2,MYBL2,RACGAP1	 
Palbo14 vs Cycling0	FOXO3	 	transcription regulator	 	0.503	 	1.46E-19	AURKA,BIRC5,BUB1B,CCNB1,CCNB2,CCNE2,CDC20,CDC45,CDC6,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,EXO1,FABP5,FBXO5,FOXM1,GMNN,KIF15,KIF2C,MCAM,MCM2,MCM4,MCM7,MKI67,MXD3,NCAPD2,NCAPG2,PBK,PCNA,PLK1,PTTG1,S1PR3,SAC3D1,SKA1,SPAG5,TPX2,UBE2C,ZWINT	265 (18)
Palbo28 vs Cycling0	FOXO3	 	transcription regulator	 	0.233	 	1.50E-19	AURKA,BIRC5,BUB1B,CCNB1,CCNB2,CCNE2,CDC20,CDC45,CDC6,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,EXO1,FABP5,FBXO5,FOXM1,GMNN,KIF15,KIF2C,MCAM,MCM2,MCM4,MCM7,MKI67,MXD3,NCAPD2,NCAPG2,PBK,PCNA,PLK1,PTTG1,SAC3D1,SKA1,SPAG5,TPX2,UBE2C,ZWINT	258 (17)
Palbo3 vs Cycling0	MYC	 	transcription regulator	Inhibited	-7.284	bias	1.51E-19	ARHGAP11A,AURKB,BCL2,BIRC5,BRCA1,BUB1,BUB1B,CAMK2N1,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDC25A,CDC25B,CDC25C,CDC7,CDCA7,CDK1,CDK2,CDKN3,CKS2,CNTRL,CSF1R,CSRP2,DDX11,DEK,DEPDC1,DHFR,DLGAP5,E2F1,E2F2,EZH2,F3,FABP5,FBL,FOSL1,FOXM1,H2AZ1,HMGN2,IRS1,KIF20A,KIF2C,MAD2L1,MCM2,MCM5,MCM6,MCM7,mir-25 (includes others),MKI67,MTFR2,MYBL2,NEK2,ODC1,PBK,PCNA,PEG10,PLK1,PRR11,PTHLH,PTMA,PTN,RAD51,RANBP1,RRM2,SHMT1,SLC16A10,SPC24,STMN1,TMEM97,TP73,TPX2,TYMS,UBE2C,UBE2S,WNT7B,WWC1,XRCC3	258 (16)
Palbo28 vs Palbo3	MITF	 	transcription regulator	Activated	4.353	bias	2.73E-19	AURKB,BCL2,CCNB1,CDCA8,CDT1,CENPH,CEP55,CHAF1A,CHTF18,ESPL1,FANCA,HAUS8,KIF4A,KIFC1,MCM2,MCM5,NUF2,PLK1,PSMC3IP,SDC1,SPC24,SPC25,UBE2C,XRCC3	87 (7)
Doxo21 vs Doxo3	VDR	 	transcription regulator	Inhibited	-4.286	 	3.60E-19	ANLN,BCL2,BRCA1,BUB1B,CCNB1,CDC20,CDC45,CDK2,CDT1,CENPA,CENPH,CHAF1A,CHAF1B,CYP24A1,EZH2,FEN1,H2AZ1,HMGN2,INCENP,KIF11,KIF22,LEF1,MAD2L1,NCAPD2,NUSAP1,ODC1,PRC1,RAD51AP1,SLC25A10,SPAG5,TK1,TPX2	234 (15)
Doxo21 vs Doxo3	E2F7	 	transcription regulator	 	1.980	bias	5.67E-19	CCNA2,CCNB1,CCNE2,CDC6,CDK1,DHFR,E2F1,E2F2,E2F8,KIF23,MCM2,MYBL2,RACGAP1	 
Doxo14 vs Cycling0	TOX	 	transcription regulator	Inhibited	-4.123	 	6.41E-19	BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25C,CDKN2C,ESPL1,FEN1,MAD2L1,MCM5,MCM7,PLK1,RAD54L,RBL1,TTK	 
Doxo21 vs Cycling0	SMARCB1	 	transcription regulator	Activated	3.705	bias	6.69E-19	AURKA,CCNA2,CDC6,CDC7,CDK1,CDKN2C,CDT1,CENPA,CENPE,DHFR,E2F1,ETS2,GMNN,KIF11,KIF23,MCM10,MCM2,MCM3,MCM4,MCM5,MYBL2,OAS3,PLK4,POLA1,PRIM1,PTN,RAD51AP1,RAD54B,SMC4	210 (14)
Palbo28 vs Cycling0	MYBL2	-7.849	transcription regulator	Inhibited	-4.029	bias	7.18E-19	AURKA,BCL2,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC25B,CDCA3,CDK1,CDK2,CENPE,E2F1,FOXM1,MYBL2,PLK1,RRM2,TOP2A,UBE2C	189 (14)
Palbo14 vs Cycling0	MYC	 	transcription regulator	Inhibited	-7.278	bias	7.40E-19	ARHGAP11A,AURKB,BCL2,BIRC5,BRCA1,BUB1,BUB1B,CAMK2N1,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDC25A,CDC25B,CDC25C,CDC7,CDCA7,CDK1,CDK2,CDKN3,CKS2,CNTRL,CSF1R,CSRP2,DDX11,DEK,DEPDC1,DHFR,DLGAP5,E2F1,E2F2,EZH2,F3,FABP5,FBL,FOSL1,FOXM1,H2AZ1,HMGN2,KIF20A,KIF2C,MAD2L1,MCM2,MCM5,MCM6,MCM7,mir-25 (includes others),MKI67,MTFR2,MYBL2,NEK2,ODC1,PBK,PCNA,PEG10,PLK1,PRR11,PTHLH,PTMA,PTN,RAD51,RANBP1,RRM2,SHMT1,SLC16A10,SPC24,STMN1,TFAP4,TMEM97,TP73,TPX2,TYMS,UBE2C,UBE2S,WNT7B,WWC1,XRCC3	263 (16)
Doxo14 vs Cycling0	FOXO3	 	transcription regulator	 	0.548	 	7.78E-19	AURKA,BIRC5,BUB1B,CCNB1,CCNB2,CDC20,CDC45,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,FABP5,FOXM1,GMNN,KIF15,KIF2C,MCM2,MCM4,MCM7,MKI67,MXD3,NCAPD2,NCAPG2,PBK,PLK1,PTTG1,SKA1,SPAG5,TPX2,UBE2C,ZWINT	191 (17)
Doxo3 vs Cycling0	CCND1	 	transcription regulator	Inhibited	-2.646	 	1.00E-18	ASPM,AURKA,BIRC5,CCNA2,CDCA2,CDCA8,CENPF,DEPDC1,FAM83D,GAS2L3,KIF11,KIF20A,KIF20B,KIF4A,LCORL,MELK,NCAPH,PLK1,RACGAP1,TPX2,TRIP13	 
Palbo3 vs Cycling0	MYBL2	-11.686	transcription regulator	Inhibited	-4.029	bias	1.23E-18	AURKA,BCL2,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC25B,CDCA3,CDK1,CDK2,CENPE,E2F1,FOXM1,MYBL2,PLK1,RRM2,TOP2A,UBE2C	198 (15)
Palbo14 vs Palbo3	E2F4	 	transcription regulator	 	-0.686	 	1.55E-18	AURKB,BCL2,CENPA,E2F1,E2F2,FANCD2,KIF4A,MYB,MYBL2,NDC80,OIP5,PCLAF,RAD51,RAD54L,RRM2,TK1,TP73,TTK,UBE2C	 
Doxo21 vs Doxo3	SMARCB1	 	transcription regulator	Activated	3.705	bias	1.66E-18	AURKA,CCNA2,CDC6,CDC7,CDK1,CDKN2C,CDT1,CENPA,CENPE,DHFR,E2F1,GMNN,KIF11,KIF23,MCM10,MCM2,MCM3,MCM4,MCM5,MYBL2,OAS3,PLK4,POLA1,PRIM1,PTN,RAD51AP1,RAD54B,SMC4	202 (14)
Doxo21 vs Cycling0	VDR	 	transcription regulator	Inhibited	-4.286	 	1.83E-18	ANLN,BCL2,BRCA1,BUB1B,CCNB1,CDC20,CDC45,CDK2,CDT1,CENPA,CENPH,CHAF1A,CHAF1B,CYP24A1,EZH2,FEN1,H2AZ1,HMGN2,INCENP,KIF11,KIF22,LEF1,MAD2L1,NCAPD2,NUSAP1,ODC1,PRC1,RAD51AP1,SLC25A10,SPAG5,TK1,TPX2	248 (16)
Palbo14 vs Cycling0	MYBL2	-10.524	transcription regulator	Inhibited	-4.029	bias	2.01E-18	AURKA,BCL2,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CDC25B,CDCA3,CDK1,CDK2,CENPE,E2F1,FOXM1,MYBL2,PLK1,RRM2,TOP2A,UBE2C	202 (15)
Doxo21 vs Cycling0	E2F8	-2.334	transcription regulator	 	1.283	bias	2.01E-18	CCNA2,CCNB1,CCNE2,CDC6,CDCA2,CDK1,E2F1,ECT2,KIF23,MCM2,RACGAP1	 
Doxo14 vs Doxo3	FOXO3	 	transcription regulator	 	0.669	 	2.50E-18	BIRC5,BUB1B,CCNB1,CCNB2,CDC20,CDC45,CDC6,CDCA8,CDKN3,CDT1,CEP55,DLGAP5,EXO1,FABP5,FOXM1,KIF15,KIF2C,MCM2,MCM7,MXD3,PBK,PTTG1,SKA1,SPAG5,UBE2C,ZWINT	112 (17)
