© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo3 vs Cycling0	MYCN	 	transcription regulator	Inhibited	-2.969	 	2.25E-04	ABCA6,CDH11,COL1A1,COL5A2,DKK3,DUSP2,FBN1,PRKN,SLIT3,SPARC	 
Doxo21 vs Cycling0	SP1	 	transcription regulator	Inhibited	-2.048	bias	2.28E-04	CBS,COL1A1,GJA1,HAS1,IGFBP4,MMP11,PDGFRB,SERPINE2,SNAI1,TAGLN,THBS1,TNFSF10	65 (17)
Palbo28 vs Cycling0	ELK1	 	transcription regulator	 	0.937	bias	2.33E-04	JAM2,PLXDC2,PRKN,PTGS2,TPD52L1	 
Palbo28 vs Cycling0	JUN	 	transcription regulator	Activated	2.018	bias	2.34E-04	CDH11,COL1A2,FN1,GAS6,ITGB8,PDK1,PTGS2,PTPRN,SERPINE1,SPRY1,TIMP3,TNC	63 (15)
Doxo3 vs Cycling0	MYOCD	 	transcription regulator	 	-0.636	bias	2.38E-04	S100A4,SCN9A,SNAI1,TAGLN,VCAN	10 (3)
Doxo21 vs Cycling0	SMAD7	 	transcription regulator	 	1.720	 	2.41E-04	COL1A1,COL3A1,DCN,EFEMP1,TAGLN,TGFBI	41 (8)
Palbo28 vs Palbo3	RUNX2	 	transcription regulator	 	0.448	 	2.43E-04	C4A,COL1A1,PDGFRB,SMAD6,TNFRSF11B	 
Doxo3 vs Cycling0	HOXD3	 	transcription regulator	 	 	 	2.46E-04	SERPINE1,TAGLN,THBS1	 
Palbo28 vs Cycling0	MED24	 	transcription regulator	 	 	 	2.48E-04	HTRA1,PRKN	 
Doxo21 vs Cycling0	HDAC6	 	transcription regulator	 	-1.067	bias	2.54E-04	COL1A1,TAGLN,TGFB1I1,TGFBI	 
Palbo14 vs Cycling0	CEBPA	 	transcription regulator	 	1.027	bias	2.56E-04	AKR1C2,APLN,CEBPD,CHI3L1,COL1A2,IGFBP4,PTGS2,RARRES2,SERPINE1,TAGLN,TNFAIP6,TNFSF10,TSC22D3,VCAN	100 (20)
Doxo14 vs Cycling0	SOX3	 	transcription regulator	 	1.342	bias	2.57E-04	CHST15,DLL1,EFEMP1,PCDH18,TGFB2	 
Doxo14 vs Cycling0	CTNNB1	 	transcription regulator	Inhibited	-2.747	bias	2.59E-04	CA9,COL1A1,COL3A1,CTHRC1,EDIL3,GJA1,GPAM,HILPDA,PKP3,PTCH2,S100A4,SEMA3C,SMAD6,SNAI1,STAT5A,TCF7L1,TNFRSF11B,TNFSF10,VCAN	94 (21)
Doxo3 vs Cycling0	TP63	 	transcription regulator	 	1.034	 	2.64E-04	ARID5B,DLL1,PLXND1,S100A4,SERPINE1,SMAD6,SNAI1,SPEG,TAGLN,TGFB2,THBS1,TNC,TNFSF10	51 (16)
Palbo28 vs Cycling0	SKIL	 	transcription regulator	 	1.153	bias	2.65E-04	CDH11,COL1A2,DCHS1,SERPINE1	36 (7)
Palbo3 vs Cycling0	TBX5	 	transcription regulator	 	-1.977	bias	2.68E-04	COL1A1,COL1A2,COL3A1,ECM2,PTGS2	55 (9)
Palbo3 vs Cycling0	HTT	 	transcription regulator	Activated	2.646	 	2.69E-04	ATP8A1,C1R,CCL5,CCN4,CDH11,DBP,DCN,DKK3,LPCAT2,MAP2,MFAP4,OPRL1,RAB17,ST8SIA4,THBS2,TPM2	18 (2)
Doxo14 vs Doxo3	STAT3	 	transcription regulator	 	-1.762	 	2.73E-04	APLN,CCL5,CDON,CHI3L1,COL1A1,COL3A1,COL5A1,DDIT4,DLL1,SERPINE2,THBS1	35 (12)
Palbo14 vs Palbo3	TP53	 	transcription regulator	 	1.034	 	2.77E-04	ADAMTSL4,AK4,BDKRB2,CA9,CBS,CCL5,CCN5,DCN,ENPP2,FN1,INMT,LDHA,NMU,P4HA1,PDK1,PRKN,PTGS2,PTPRN,RNASE4,SMAD6,TGFB3,TIMP3,TNC	52 (17)
Palbo14 vs Palbo3	SREBF1	 	transcription regulator	Activated	2.000	bias	2.79E-04	AK4,CFI,COL6A1,DEPP1,FN1,PDK1,PTGS2	32 (7)
Palbo28 vs Cycling0	HOXD13	 	transcription regulator	 	 	 	2.81E-04	ANGPT1,FN1,TNC	 
Palbo3 vs Cycling0	UBE2K	 	transcription regulator	 	 	 	2.84E-04	COL1A1,TGFB2	 
Doxo21 vs Doxo3	CEBPA	 	transcription regulator	 	-1.116	 	2.86E-04	APLN,GAS1,ID2,IGFBP4,PTGS2,RARRES2,SERPINE1,THBS1,TNFAIP6	41 (13)
Palbo3 vs Cycling0	TP73	 	transcription regulator	 	1.067	bias	2.86E-04	COL1A1,COL5A2,DBP,DDIT4,ITGB8,PDGFRB,PDPN,PIEZO2,RIPOR3,TGFB2,THBS2,TNS2	61 (11)
Doxo21 vs Cycling0	EPAS1	 	transcription regulator	 	-1.751	bias	2.88E-04	APLN,CA12,CA9,FHL1,GJA1,LDHA,TNFRSF11B,WNT10B	39 (7)
Doxo21 vs Doxo3	SMAD2	 	transcription regulator	 	-1.067	 	2.90E-04	COL3A1,SERPINE1,SERPINE2,SYT7,THBS1	41 (14)
Palbo14 vs Cycling0	SFMBT1	 	transcription regulator	 	-1.000	bias	2.90E-04	APLN,CNTN1,MAP2,PDK1	 
Doxo21 vs Doxo3	BARX2	 	transcription regulator	 	 	 	2.92E-04	CDH11,CTHRC1,SERPINE2	 
Doxo14 vs Cycling0	UBE2K	 	transcription regulator	 	 	 	2.93E-04	COL1A1,TGFB2	 
Palbo28 vs Cycling0	KLF11	 	transcription regulator	 	0.000	 	2.99E-04	COL1A2,DCN,ITGB8,SERPINE1,SMAD6,TIMP3	51 (14)
Doxo21 vs Cycling0	GLI1	 	transcription regulator	 	-0.617	 	3.01E-04	AKR1C1,AKR1C3,CA12,COL1A1,DBP,FHL1,HSD17B6,MMP11,PCDH18,SNAI1,ZFP36	 
Doxo21 vs Doxo3	USF2	 	transcription regulator	 	 	 	3.09E-04	APLN,SERPINE1,SPEG,THBS1	 
Doxo21 vs Cycling0	MYF6	 	transcription regulator	 	 	 	3.12E-04	APLN,DCN,DLL1,THBS1,TNFRSF11B	 
Doxo21 vs Cycling0	CTNNB1	 	transcription regulator	Inhibited	-3.102	bias	3.19E-04	ACTC1,CA9,COL1A1,COL3A1,CTHRC1,EDIL3,GJA1,GPAM,PDE1C,PKP3,SERPINE2,SNAI1,TCF7L1,TNFRSF11B,TNFSF10,VCAN	80 (20)
Palbo14 vs Palbo3	NFATC2	 	transcription regulator	 	1.461	bias	3.20E-04	CCL5,ENPP2,LDHA,PTGS2,RGS2,STAT5A	59 (19)
Palbo3 vs Cycling0	CEBPD	1.273	transcription regulator	Activated	2.414	bias	3.24E-04	CEBPD,COL1A1,COL1A2,COL5A1,DEPP1,PTGS2	64 (16)
Palbo3 vs Cycling0	FOS	 	transcription regulator	 	0.657	bias	3.25E-04	APLN,CCL5,CDH11,CHI3L1,COL1A1,FBN1,PAOX,PDPN,PTGS2,PTPRN,TET1,TNFRSF11B,WNT10B	41 (7)
Palbo14 vs Cycling0	FOS	 	transcription regulator	Activated	2.322	bias	3.26E-04	APLN,CCL5,CDH11,CHI3L1,COL6A1,FN1,GRIK2,HAS1,PDPN,PTGS2,PTPRN,SERPINE1,SERPINE2,SNAI1,TET1,TNFRSF11B	96 (17)
Doxo21 vs Doxo3	ZEB1	 	transcription regulator	 	-1.231	 	3.34E-04	COL3A1,MUC1,PTGS2,SERPINE1,THBS1	39 (16)
Doxo3 vs Cycling0	HDAC6	 	transcription regulator	 	-0.152	bias	3.34E-04	DNM3OS,SERPINE1,TAGLN,TGFB1I1	 
Doxo21 vs Cycling0	TRIM28	 	transcription regulator	 	-0.447	 	3.35E-04	CTHRC1,EFEMP1,HAS1,LMO7,SERPINE2,WNT10B	 
Palbo14 vs Cycling0	NFKB2	 	transcription regulator	 	-0.055	bias	3.37E-04	CCL5,DPT,ENPP2,FAP,IGFBP4,KCNMB4,PTGS2,SELL	105 (17)
Palbo14 vs Cycling0	SNAI1	1.004	transcription regulator	 	0.572	 	3.37E-04	COL1A2,FN1,KRT18,MUC1,PTGS2,SERPINE1,SNAI1,SPARC	92 (17)
Palbo3 vs Cycling0	ZEB1	 	transcription regulator	 	0.054	 	3.37E-04	COL1A1,COL1A2,COL3A1,KRT18,MUC1,PTGS2	64 (16)
Palbo3 vs Cycling0	DDIT3	 	transcription regulator	 	-0.640	 	3.37E-04	CEBPD,PDPN,STAT5A,TGFB2,THBS2,TSC22D3	59 (11)
Doxo21 vs Cycling0	KLF15	 	transcription regulator	 	-1.067	bias	3.40E-04	DDIT4,GPAM,LUM,TAGLN,TNFSF10	 
Palbo3 vs Cycling0	NFE2L2	 	transcription regulator	 	-0.434	bias	3.42E-04	AKR1C3,ANGPT1,CBS,CCL5,CFH,COL1A1,COL3A1,DDIT4,INMT,KCND1,LUM,PTGS2,ST8SIA4,TGFB2,TSC22D3	68 (20)
Palbo3 vs Cycling0	SKIL	 	transcription regulator	 	0.762	bias	3.42E-04	CDH11,COL1A2,COL3A1,THBS2	 
Doxo14 vs Doxo3	TRIM28	 	transcription regulator	 	-1.000	 	3.49E-04	CCL5,CTHRC1,EFEMP1,SERPINE2,SLC44A3	 
Palbo3 vs Cycling0	RELA	 	transcription regulator	 	1.271	bias	3.52E-04	CBS,CCL5,CHI3L1,COL1A1,COL1A2,IKZF2,KRT18,LUM,MUC1,PTGS2,STAT5A,TNFRSF11B	66 (18)
Palbo14 vs Palbo3	EZH2	 	transcription regulator	 	1.698	 	3.54E-04	CCL5,FN1,JAM2,PTGS2,RASSF9,SPATA13,TGFB3,TIMP3,WNT10B	39 (15)
Palbo14 vs Cycling0	GATA4	 	transcription regulator	 	-0.692	 	3.55E-04	ACTC1,ACTG2,CA12,COL1A2,COL3A1,ECM2,FAP,INMT,PTGS2,TAGLN	27 (4)
Palbo28 vs Cycling0	VHL	 	transcription regulator	 	0.068	bias	3.61E-04	CA12,CA9,CCL5,COL1A2,FN1,PDK1,TNFSF10	66 (19)
Palbo14 vs Palbo3	NKRF	 	transcription regulator	 	 	 	3.64E-04	CCL5,PTGS2	38 (10)
Palbo3 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.521	bias	3.68E-04	CA14,CDH11,CNTN1,COL1A1,ECM2,IFITM2,KRT18,LUM,MUC1,MYRF,PPFIA4,TCIM,TGFB2,TNFSF10	60 (7)
Doxo21 vs Cycling0	TEAD1	 	transcription regulator	Inhibited	-2.449	bias	3.68E-04	COL3A1,FILIP1L,PCDH18,PDGFRL,TAGLN,THBS1	19 (4)
Doxo3 vs Cycling0	FOXA2	 	transcription regulator	 	0.152	bias	3.74E-04	ACTG2,AKR1C1,ARID5B,PCDHGA1,PDGFRB,SERPINE1,SNAI1,TAGLN,TGFB2,THBS1	31 (4)
Doxo14 vs Cycling0	FOS	 	transcription regulator	 	0.239	bias	3.79E-04	APLN,CHI3L1,COL1A1,FBN1,GAS1,GJA1,LDHA,SDK1,SNAI1,TET1,TGFBI,TNFRSF11B,WNT10B	80 (13)
Palbo14 vs Palbo3	TWIST1	 	transcription regulator	 	0.910	bias	3.79E-04	CCN4,CHI3L1,COL6A1,DCN,FN1,TIMP3	 
Palbo14 vs Palbo3	SP3	 	transcription regulator	 	 	 	3.79E-04	CBS,CHI3L1,JAM2,PTGS2,RECK,TNC	 
Doxo21 vs Doxo3	KCNIP3	 	transcription regulator	Activated	2.000	 	3.80E-04	CCL5,KCND2,STAT5A,TNFAIP6	 
Palbo14 vs Cycling0	SIX1	 	transcription regulator	 	-1.890	bias	3.89E-04	ACTC1,FN1,LDB3,PPFIA4,SGCD,TAGLN,TPM2	 
Palbo28 vs Palbo3	GLI1	 	transcription regulator	 	-1.954	 	3.90E-04	ANG,C1orf116,CA12,COL1A1,MMP11,PTCH2,RNASE4,TIMP3,TNC	 
Doxo21 vs Doxo3	NOSTRIN	 	transcription regulator	 	 	 	3.93E-04	CCL5,COL18A1,THBS1	 
Palbo28 vs Cycling0	BHLHE40	 	transcription regulator	 	1.977	bias	3.95E-04	AK4,BHLHE41,CDH11,CNTN1,FPR1,HAS1,P4HA1,PDPN,PTGS2	 
Doxo21 vs Cycling0	NPM1	 	transcription regulator	Inhibited	-2.449	bias	4.04E-04	AKR1C3,DLL1,EDIL3,GJA1,SERPINE2,TGFBI	 
Doxo14 vs Cycling0	RELA	 	transcription regulator	 	-0.734	bias	4.06E-04	CBS,CHI3L1,COL1A1,COL1A2,DNM3OS,LUM,MUC1,NNMT,SCN9A,SNAI1,STAT5A,TNFRSF11B	94 (20)
Doxo14 vs Doxo3	NPM1	 	transcription regulator	 	-1.342	 	4.10E-04	COL5A1,DLL1,EDIL3,MXRA5,SERPINE2	 
Doxo21 vs Doxo3	NKRF	 	transcription regulator	 	 	 	4.10E-04	CCL5,PTGS2	30 (8)
Palbo14 vs Palbo3	MRTFA	 	transcription regulator	 	1.955	bias	4.16E-04	ACTG2,CCL5,CCN5,FN1,PTGS2,TNC	30 (7)
Doxo14 vs Cycling0	HMGA1	 	transcription regulator	 	-1.134	bias	4.24E-04	COL1A1,COL1A2,IGFBP4,SERPINH1,SNAI1,SPARC,TAGLN	81 (16)
Palbo14 vs Palbo3	NFE2L2	 	transcription regulator	 	-1.765	bias	4.29E-04	ANG,CBS,CCL5,CFH,FN1,INMT,LDHA,LUM,PTGS2,SOD3,TIMP3	54 (19)
Doxo14 vs Cycling0	SMARCA4	 	transcription regulator	Inhibited	-2.437	bias	4.32E-04	COL1A1,DLL1,IFITM2,IGFBP4,LUM,MUC1,RGS2,SERPINH1,SMAD6,SNAI1,TAGLN,TGFB2,TNFSF10,ZBED10P	84 (16)
Palbo3 vs Cycling0	IRF5	 	transcription regulator	 	0.152	bias	4.34E-04	CCL5,COL1A1,COL3A1,PTGS2,TNFSF10	65 (14)
Doxo21 vs Cycling0	EOMES	 	transcription regulator	Activated	2.236	 	4.35E-04	ACTC1,COL3A1,RGS2,TGFBI,TNFSF10	 
Doxo14 vs Doxo3	YAP1	 	transcription regulator	 	-0.923	 	4.35E-04	CCL5,CCN5,COL1A1,COL3A1,COL5A1,CTHRC1,IGFBP4,STAT5A,THBS1	28 (11)
Doxo21 vs Cycling0	NEUROG1	 	transcription regulator	 	0.000	 	4.50E-04	COL3A1,FAP,MFAP4,THBS1	 
Palbo14 vs Cycling0	FOXO3	 	transcription regulator	 	0.966	 	4.57E-04	ANGPT1,APLN,DDIT4,DEPP1,IKZF2,PECAM1,PIK3IP1,SELL,SERPINE1,SNAI1,TCIM,TNFSF10	118 (20)
Doxo3 vs Cycling0	NOTCH3	 	transcription regulator	 	-0.018	 	4.61E-04	CDH11,GPC6,PDGFRB,SGCD,TAGLN,THBS1	 
Palbo14 vs Palbo3	ELK1	 	transcription regulator	 	1.951	bias	4.63E-04	JAM2,PLXDC2,PRKN,PTGS2	 
Palbo3 vs Cycling0	ARID2	 	transcription regulator	Inhibited	-2.000	bias	4.65E-04	CCN4,COL1A1,PCDHB3,PTPRN	 
Palbo14 vs Cycling0	RCOR1	 	transcription regulator	 	 	 	4.68E-04	COL1A2,PTGS2,SERPINE1	38 (7)
Palbo14 vs Palbo3	GLIS1	 	transcription regulator	 	 	 	4.68E-04	CHI3L1,EFEMP1,TIMP3	 
Doxo21 vs Cycling0	ZBTB18	 	transcription regulator	 	 	 	4.76E-04	CHSY3,EMILIN1,SERPINH1	 
Doxo3 vs Cycling0	KLF2	 	transcription regulator	 	0.788	 	4.76E-04	DLL1,SELL,SERPINE1,TGFB2,THBS1,TNFSF10	42 (9)
Doxo14 vs Cycling0	SOX17	 	transcription regulator	 	1.268	 	4.94E-04	AKR1C1,AKR1C2,AKR1C3,SPARC	 
Doxo14 vs Cycling0	ARID2	 	transcription regulator	 	1.951	bias	4.94E-04	COL1A1,SNAI1,SSC5D,THBS1	45 (4)
Palbo3 vs Cycling0	CALR	 	transcription regulator	 	1.969	 	5.01E-04	COL1A1,COL1A2,COL3A1,PTGS2	68 (22)
Palbo3 vs Cycling0	MYOCD	 	transcription regulator	 	-0.979	bias	5.04E-04	COL1A1,COL1A2,COL3A1,ECM2,LMOD1	 
Palbo14 vs Palbo3	FOXL2	 	transcription regulator	 	1.192	bias	5.06E-04	PTGS2,RGS2,SMAD6,SPRY1	 
Palbo28 vs Palbo3	MYOCD	 	transcription regulator	 	1.000	 	5.14E-04	COL1A1,ECM2,SCN9A,VCAN	 
Doxo3 vs Cycling0	CEBPA	 	transcription regulator	 	-0.260	bias	5.23E-04	AKR1C2,PLXND1,RARRES2,RGS2,SERPINE1,TAGLN,TGFB2,THBS1,TNFSF10,VCAN	52 (9)
Doxo14 vs Cycling0	CALR	 	transcription regulator	 	-0.751	 	5.32E-04	COL1A1,COL1A2,COL3A1,GJA1	80 (19)
Palbo3 vs Cycling0	TSC22D3	1.162	transcription regulator	 	0.655	bias	5.38E-04	CCL5,COL1A1,EDIL3,PTGS2	60 (19)
Doxo3 vs Cycling0	TEAD1	 	transcription regulator	Inhibited	-2.449	bias	5.40E-04	ARID5B,FILIP1L,LOXL1,PDGFRL,TAGLN,THBS1	11 (2)
Palbo14 vs Palbo3	HDAC4	 	transcription regulator	 	 	 	5.41E-04	LDHA,PTGS2,RGS2,SNAP25,TNFRSF11B	42 (10)
Palbo14 vs Cycling0	BRCA1	 	transcription regulator	 	1.156	 	5.43E-04	ANGPT1,CCL5,DDIT4,ENPP2,SERPINE2,SNAI1,STAT5A,VCAN	102 (20)
Palbo28 vs Cycling0	NFE2L2	 	transcription regulator	 	-0.834	bias	5.44E-04	ANG,ANGPT1,CBS,CCL5,CFH,DDIT4,FN1,INMT,KCND1,LUM,PTGS2,SERPINE1,ST8SIA4,TIMP3	55 (19)
Doxo21 vs Doxo3	TP73	 	transcription regulator	 	-0.309	 	5.51E-04	CCN5,COL18A1,DBP,DDIT4,ID2,IGFBP4,SERPINE1,SERPINE2,THBS1	37 (11)
Palbo28 vs Cycling0	TGFB1I1	-0.280	transcription regulator	 	 	 	5.54E-04	FN1,SERPINE1,TNS1	59 (12)
Palbo3 vs Cycling0	TAF4	 	transcription regulator	 	 	 	5.55E-04	CDH11,DCN,LUM,TGFB3,THBS2	 
Doxo3 vs Cycling0	GLI1	 	transcription regulator	 	0.617	 	5.57E-04	AKR1C1,AKR1C2,AKR1C3,CA12,CDH11,HSD17B6,S100A4,SNAI1,TGFB2,TNC,ZFP36	 
Doxo14 vs Doxo3	MKX	 	transcription regulator	 	 	 	5.59E-04	COL1A1,COL3A1	 
Palbo14 vs Cycling0	DLX1	 	transcription regulator	 	1.342	bias	5.75E-04	EDIL3,HTRA1,SERPINE1,SNAI1,TPM2	 
Palbo3 vs Cycling0	SP1	 	transcription regulator	Activated	2.769	bias	5.75E-04	CBS,CCL5,CEBPD,CHI3L1,COL1A1,COL1A2,KRT18,MMP11,PDGFRB,PTGS2,SPARC,TGFB2,TNFSF10	71 (18)
Doxo3 vs Cycling0	NPM1	 	transcription regulator	Inhibited	-2.449	bias	5.91E-04	AKR1C2,AKR1C3,CDH11,DLL1,EDIL3,MXRA5	 
Palbo14 vs Palbo3	BHLHE40	 	transcription regulator	Activated	2.607	bias	6.02E-04	AK4,CCN4,EGLN3,HAS1,LDHA,P4HA1,PTGS2	 
Palbo14 vs Cycling0	HMGA1	 	transcription regulator	Activated	2.138	bias	6.03E-04	COL1A2,IGFBP4,PTGS2,SLC17A5,SNAI1,SOD3,SPARC,TAGLN	110 (21)
Doxo3 vs Cycling0	EOMES	 	transcription regulator	 	1.342	 	6.04E-04	MXRA5,NRP2,RAB17,RGS2,TNFSF10	 
Palbo28 vs Cycling0	FOS	 	transcription regulator	 	1.737	bias	6.13E-04	APLN,CCL5,CDH11,CHI3L1,FN1,HAS1,PDPN,PTGS2,PTPRN,SERPINE1,TNFRSF11B,WNT10B	57 (15)
Palbo14 vs Cycling0	EZH2	 	transcription regulator	 	0.262	 	6.31E-04	CCL5,CEMIP,COL1A2,COL5A1,FN1,JAM2,PCDHB16,PIK3IP1,PTGS2,RASSF9,SNAI1,SPARC,SPATA13,TIMP3	100 (20)
Palbo28 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.335	bias	6.31E-04	C2CD6,CDH11,CNTN1,FN1,IFITM2,LUM,PDK1,PPFIA4,SERPINE1,SMAD6,TCAF2,TCIM,TNFSF10	45 (11)
Doxo14 vs Cycling0	POU5F1	 	transcription regulator	 	-1.935	bias	6.65E-04	CHST15,EFEMP1,LDHA,LOXL1,PCDH18,SNAI1,TET1,TGFB2,TNFRSF11B,TNFSF10	78 (11)
Palbo28 vs Cycling0	TWIST1	 	transcription regulator	 	0.496	bias	6.69E-04	CHI3L1,DCN,DKK3,FN1,MXRA8,PCOLCE,TIMP3	 
Palbo14 vs Palbo3	STAT1	 	transcription regulator	 	0.247	bias	6.74E-04	CCL5,CYSLTR2,EGLN3,FN1,HTRA1,MUC1,PTGS2,TNC	56 (22)
Doxo3 vs Cycling0	NFE2L2	 	transcription regulator	 	-0.847	bias	6.88E-04	AKR1C1,AKR1C3,ARID5B,INMT,PRRX1,S100A4,SELL,SERPINE1,SNAI1,ST8SIA4,TAGLN,TGFB2,THBS1	39 (9)
Palbo28 vs Palbo3	GATA4	 	transcription regulator	 	1.432	 	6.98E-04	ACTG2,CA12,COL1A1,CTHRC1,ECM2,LDHA	 
Palbo14 vs Cycling0	IKZF3	 	transcription regulator	Inhibited	-2.000	bias	6.99E-04	DEPP1,FN1,MAP2,PROS1,SELL	 
Palbo3 vs Cycling0	NACA	 	transcription regulator	 	 	 	7.03E-04	COL1A1,PDPN	 
Palbo3 vs Cycling0	YBX1	 	transcription regulator	 	0.741	bias	7.08E-04	CCL5,COL1A1,COL1A2,MUC1,PDGFRB,PTGS2	73 (22)
Palbo14 vs Cycling0	CUX1	 	transcription regulator	 	 	 	7.13E-04	CCL5,CCN5,HTRA1,PIK3IP1,SNAI1,SPRY1	 
Doxo14 vs Cycling0	HSF1	 	transcription regulator	 	-0.765	 	7.18E-04	DPT,EFEMP1,IGFBP4,LDHA,SEMA3C,SERPINH1,THBS2,VCAN	66 (7)
Doxo14 vs Cycling0	NFYB	 	transcription regulator	 	 	 	7.18E-04	CBS,COL1A1,COL1A2,GPAM,PDGFRB,S100A4,SNAI1,ST8SIA4	8 (2)
Palbo28 vs Cycling0	ATF4	 	transcription regulator	Activated	2.576	bias	7.23E-04	CA9,CEMIP,DDIT4,FN1,PRKN,PTGS2,TNFRSF11B	69 (20)
Palbo28 vs Cycling0	CUX1	 	transcription regulator	 	 	 	7.32E-04	CCL5,CCN5,HTRA1,PIK3IP1,SPRY1	 
Doxo21 vs Cycling0	YAP1	 	transcription regulator	 	-1.807	bias	7.33E-04	CCDC80,COL1A1,COL3A1,CTHRC1,DCN,IGFBP4,LDHA,TAGLN,TGFB1I1,THBS1,VCAN	55 (14)
Palbo14 vs Palbo3	ELF3	 	transcription regulator	 	 	 	7.39E-04	FN1,PTGS2,TIMP3	34 (11)
Palbo28 vs Cycling0	CTNNB1	 	transcription regulator	 	1.833	bias	7.40E-04	BMF,CA9,CCL5,CDH11,FN1,FSCN1,HTRA1,JAM2,PTGS2,SERPINE1,SMAD6,SMO,TIMP3,TNC,TNFRSF11B,TNFSF10,UPB1	62 (22)
Palbo14 vs Cycling0	ELF3	 	transcription regulator	Activated	2.000	bias	7.41E-04	ANGPT1,FN1,PTGS2,TIMP3	100 (16)
Palbo14 vs Cycling0	ARRB1	 	transcription regulator	 	 	 	7.41E-04	PTGS2,SERPINE1,SNAI1,TSC22D3	102 (22)
Doxo14 vs Cycling0	SOX4	 	transcription regulator	 	-1.976	bias	7.45E-04	IGFBP4,LMO7,MAGI1,MMP11,PLXND1,SELL,SEMA3C	 
Palbo14 vs Cycling0	KLF4	 	transcription regulator	 	1.078	bias	7.52E-04	ACTC1,ANGPT1,COL1A2,EFEMP1,FN1,PECAM1,SERPINE1,SOD3,TAGLN,TNC,TNFSF10	100 (22)
Palbo3 vs Cycling0	TFEB	 	transcription regulator	 	 	 	7.61E-04	CCL5,COL1A1,DCN,DUSP2,ITGA11,PDGFRB,PDPN,SLC17A5,SPARC,ST8SIA4	61 (7)
Palbo14 vs Palbo3	TCF7L1	0.021	transcription regulator	 	0.152	 	7.62E-04	ENPP2,FN1,HSPB6,JAM2	31 (7)
Doxo14 vs Cycling0	YBX1	 	transcription regulator	 	-0.686	bias	7.70E-04	COL1A1,COL1A2,EFEMP1,MUC1,PDGFRB,SNAI1	88 (22)
Doxo21 vs Cycling0	HSF1	 	transcription regulator	 	-0.537	 	7.73E-04	COL18A1,DPT,EFEMP1,IGFBP4,LDHA,SERPINH1,VCAN	 
Palbo28 vs Cycling0	SREBF1	 	transcription regulator	Activated	2.373	bias	7.74E-04	AK4,BHLHE41,CFI,DEPP1,FN1,PDK1,PTGS2,SERPINE1	67 (17)
Palbo28 vs Palbo3	EP300	 	transcription regulator	 	0.000	 	7.76E-04	BMF,CA12,COL1A1,LDHA,MMP11,PDGFRB,SMAD6,TNC	40 (11)
Palbo14 vs Cycling0	GLIS3	 	transcription regulator	Activated	2.449	bias	7.85E-04	COL1A2,COL3A1,COL5A2,COL6A1,COL6A2,SOD3	 
Palbo28 vs Cycling0	KLF2	 	transcription regulator	 	-1.021	 	7.90E-04	APLN,CCL5,PDPN,PTGS2,SERPINE1,TNFSF10	67 (17)
Doxo21 vs Cycling0	E2F3	 	transcription regulator	 	1.408	bias	7.96E-04	AKR1C1,AKR1C3,CA12,COL18A1,SERPINH1,THBS1	 
Palbo14 vs Cycling0	PAX3	 	transcription regulator	 	 	 	8.14E-04	COL1A2,IFITM2,NMU,NNMT,RARRES2,TIMP3,TNC,VCAN	76 (7)
Palbo28 vs Palbo3	RBM14	 	transcription regulator	 	 	 	8.14E-04	LDHA,PDK1	 
Doxo14 vs Doxo3	TEAD2	 	transcription regulator	 	 	 	8.14E-04	COL3A1,PCDH18,THBS1	 
Palbo28 vs Palbo3	MYF6	 	transcription regulator	 	 	 	8.36E-04	ANG,APLN,RECK,TNFRSF11B	 
Doxo21 vs Cycling0	ZEB1	 	transcription regulator	Inhibited	-2.200	 	8.41E-04	COL1A1,COL3A1,SNAI1,TGFBI,THBS1	66 (16)
Palbo28 vs Cycling0	TSC22D1	 	transcription regulator	 	 	 	8.58E-04	FN1,SERPINE1	38 (13)
Palbo28 vs Cycling0	NKRF	 	transcription regulator	 	 	 	8.58E-04	CCL5,PTGS2	37 (10)
Palbo28 vs Cycling0	QKI	 	transcription regulator	Activated	2.219	bias	8.61E-04	FN1,FSCN1,ITGB8,TNC,TNFSF10	47 (7)
Palbo14 vs Cycling0	QKI	 	transcription regulator	 	1.664	bias	8.61E-04	FN1,FSCN1,ITGB8,TAGLN,TNC,TNFSF10	67 (7)
Palbo28 vs Cycling0	BARX2	 	transcription regulator	 	 	 	8.63E-04	CDH11,HTRA1,TIMP3	 
Doxo21 vs Doxo3	DACH1	 	transcription regulator	 	 	 	8.80E-04	EFEMP1,PTGS2,SERPINE1	 
Palbo14 vs Cycling0	KCNIP3	 	transcription regulator	 	1.387	 	8.94E-04	CCL5,COL1A2,KCND2,STAT5A,TNFAIP6	 
Doxo14 vs Cycling0	NCOA3	 	transcription regulator	 	-1.277	bias	8.96E-04	CCDC80,LDHA,MUC1,TAGLN,TGFB2	71 (12)
Doxo14 vs Doxo3	TEAD3	 	transcription regulator	 	 	 	9.11E-04	COL3A1,PCDH18,THBS1	 
Doxo21 vs Doxo3	KLF2	 	transcription regulator	 	0.294	 	9.39E-04	APLN,CCL5,PTGS2,SERPINE1,THBS1	32 (10)
