© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo14 vs Palbo3	ECSIT	 	transcription regulator	 	 	 	3.96E-04	CXCL8,IL1B,TNFAIP3	47 (11)
Palbo3 vs Cycling0	WWTR1	 	transcription regulator	 	 	 	3.99E-04	BMP2,COL9A2,CSF2,CSF3,ESR1,IL1B,TNFRSF8	 
Doxo14 vs Doxo3	CTNNB1	 	transcription regulator	Activated	2.843	bias	4.00E-04	CSF3,CTNNA2,CXCL1,CXCL8,FZD3,IL1A,IL1B,LAMC2,LIF,MMP1,PCDH15,PSAP,SAA1,SERPINB2,SLCO2B1,STRA6	43 (15)
Doxo3 vs Cycling0	MAFA	 	transcription regulator	 	 	 	4.04E-04	ABCC8,ALDH1A3,CCR7,CSF3,ESR1,GCKR,IL1A	43 (7)
Palbo14 vs Cycling0	NFAT5	 	transcription regulator	 	-0.510	 	4.07E-04	ANXA3,BMP2,CCR7,CD28,CD36,CSF2,CSF3,FLT1,IL1B,LIF,NOX4,TNFAIP3,VCAM1	55 (11)
Doxo21 vs Cycling0	FOXH1	 	transcription regulator	 	 	 	4.07E-04	ALDH1A2,ALDH1A3,IL1A	 
Palbo14 vs Cycling0	BCL10	 	transcription regulator	 	 	 	4.11E-04	CSF2,CXCL8,TNFAIP3	52 (14)
Palbo14 vs Cycling0	YBX1	 	transcription regulator	Activated	2.236	bias	4.13E-04	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,PAPPA	74 (15)
Doxo21 vs Cycling0	HLX	 	transcription regulator	Inhibited	-2.000	bias	4.15E-04	BMP2,CXCL8,KYNU,PAPPA	 
Doxo3 vs Cycling0	NFKBIA	 	transcription regulator	 	1.762	 	4.16E-04	BMP2,CP,CSF2,CSF3,IL1A,IL1B,LIF,MMP1,PTX3,TLR4,TNFAIP3,VCAM1	61 (17)
Doxo21 vs Doxo3	IRF2	 	transcription regulator	 	0.681	bias	4.18E-04	CEACAM1,CFB,IL1B,SLCO2B1,TLR4,VCAM1	44 (9)
Palbo14 vs Palbo3	GPS2	 	transcription regulator	Inhibited	-2.000	bias	4.21E-04	CXCL1,CXCL8,IL1B,VCAM1	38 (19)
Doxo21 vs Doxo3	SRF	 	transcription regulator	 	 	 	4.24E-04	CORIN,FLT1,GCKR,LIF,NEBL,PCDH15,SERPINB10,SERPINB2,SERPIND1,TNNT2	 
Doxo21 vs Cycling0	MAFA	 	transcription regulator	 	 	 	4.27E-04	ABCC8,ALDH1A3,CCR7,CSF3,ESR1,GCKR,IL1A,PTGER3	52 (7)
Doxo14 vs Doxo3	FOSL2	 	transcription regulator	 	 	 	4.31E-04	CSF2,CXCL8,MMP1,SERPINB2	43 (13)
Doxo3 vs Cycling0	KLF2	 	transcription regulator	 	-0.421	 	4.34E-04	CCR7,CD36,FLT1,IL1B,SLCO2A1,TNFRSF8,VCAM1	46 (12)
Doxo3 vs Cycling0	NFKBIZ	 	transcription regulator	 	1.980	bias	4.37E-04	ADAMTS4,CSF2,CSF3,IL1B	61 (13)
Doxo3 vs Cycling0	HMGB2	 	transcription regulator	 	 	 	4.37E-04	CD36,CSF3,IL1B,MMP1	27 (4)
Palbo14 vs Palbo3	POU2F1	 	transcription regulator	 	 	 	4.43E-04	CXCL8,ESR1,SAA1,TNFAIP3,VCAM1	34 (7)
Doxo21 vs Cycling0	JUNB	 	transcription regulator	Activated	2.176	bias	4.44E-04	C5AR1,CSF2,CSF3,CXCL8,IL1B,MMP1,SERPINB2,TNFRSF8	90 (13)
Palbo14 vs Palbo3	RBPJ	 	transcription regulator	 	-1.342	 	4.55E-04	BMP2,CSF2,CSF3,IL1A,IL1B,IL36B,LIF	56 (21)
Doxo3 vs Cycling0	NFKB1	 	transcription regulator	Activated	2.180	bias	4.55E-04	ADAMTS4,BMP2,CSF2,CSF3,EHF,IL1A,IL1B,PTX3,TNFAIP3,VCAM1	70 (14)
Doxo14 vs Doxo3	RFX1	 	transcription regulator	 	0.218	 	4.58E-04	CXCL8,IL1A,IL1B,MAP1A	36 (10)
Palbo28 vs Palbo3	ACTN4	 	transcription regulator	 	 	 	4.83E-04	CXCL8,IL1B,MMP1	46 (10)
Palbo28 vs Palbo3	NFKBIB	 	transcription regulator	 	1.969	bias	4.85E-04	CXCL1,CXCL8,IL1B,VCAM1	54 (16)
Palbo14 vs Cycling0	MAML1	 	transcription regulator	 	 	 	4.90E-04	CXCL8,IL1A,IL1B	65 (13)
Palbo14 vs Cycling0	HIF1A	 	transcription regulator	Activated	3.515	bias	5.15E-04	ABCC8,BMP2,CCR7,CD36,CSF2,CXCL8,FLT1,H2AC6,H2BC12,IL1A,IL1B,MMP1,MST1R,NOX4,VCAM1	70 (18)
Palbo14 vs Palbo3	SMAD4	 	transcription regulator	 	-1.009	 	5.15E-04	AFP,BMP2,CSF3,IGFBP2,IL1A,IL1B,MMP1,PRR5L,PTX3	54 (15)
Palbo14 vs Cycling0	FLI1	 	transcription regulator	Activated	2.190	bias	5.16E-04	CSF2,CSF3,MMP1,PAPPA,PART1	 
Doxo3 vs Cycling0	PPRC1	 	transcription regulator	 	1.091	bias	5.19E-04	IL13RA2,IL1A,KRT34,SPX	 
Palbo28 vs Palbo3	HIVEP1	 	transcription regulator	 	-1.969	bias	5.21E-04	IL1A,IL1B,TNFAIP3,TNIP1	44 (7)
Doxo3 vs Cycling0	CITED2	 	transcription regulator	Inhibited	-2.733	bias	5.29E-04	C5AR1,FLT1,IL1A,IL1B,KYNU,MMP1,SLAMF7,TNFAIP3	58 (12)
Doxo21 vs Doxo3	ACTN4	 	transcription regulator	 	 	 	5.39E-04	CXCL8,IL1B,MMP1	55 (12)
Palbo14 vs Palbo3	TSC22D1	 	transcription regulator	 	 	 	5.41E-04	CXCL8,IL1B	 
Palbo28 vs Cycling0	JUN	 	transcription regulator	Activated	2.480	bias	5.47E-04	C5AR1,CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,LIF,MMP1,NOX5,PTX3,SAA1,SERPINB2,VAV3,VCAM1	80 (14)
Palbo14 vs Cycling0	IFI16	 	transcription regulator	 	1.387	bias	5.48E-04	CD28,CXCL8,ESR1,IL1B,VCAM1	58 (12)
Palbo28 vs Cycling0	IKZF2	 	transcription regulator	Inhibited	-2.000	bias	5.52E-04	CD28,CSF2,IKZF3,STAT4	 
Doxo21 vs Doxo3	NFKBIB	 	transcription regulator	 	1.969	bias	5.60E-04	CXCL1,CXCL8,IL1B,VCAM1	38 (13)
Doxo14 vs Cycling0	IKZF2	 	transcription regulator	Inhibited	-2.000	bias	5.67E-04	CD28,CSF2,IKZF3,STAT4	 
Palbo28 vs Cycling0	FOS	 	transcription regulator	Activated	2.190	bias	5.77E-04	ABCG8,ALDH1A3,CSF3,CXCL8,FLRT2,FZD3,IKZF3,IL1A,IL1B,MMP1,SEMA3E,SERPINB2,SLAMF7,TREM1,VAV3,VCAM1	88 (17)
Palbo14 vs Cycling0	RBPJ	 	transcription regulator	 	-0.378	bias	5.78E-04	ALDH1A2,BMP2,CCR7,CSF2,CSF3,IL1A,IL1B,IL36B,LIF	73 (16)
Palbo28 vs Cycling0	FOSL1	 	transcription regulator	 	1.328	 	5.79E-04	CSF3,CXCL8,IL1B,MMP1,PLXNB3,SERPINB2,THBD	74 (16)
Palbo28 vs Cycling0	NFAT5	 	transcription regulator	 	-0.623	 	5.88E-04	ANXA3,BMP2,CCR7,CD28,CD36,CSF2,CSF3,FLT1,IL1B,LIF,NOX4,TLR4,TNFAIP3,VCAM1	72 (15)
Palbo14 vs Palbo3	SMAD5	 	transcription regulator	 	 	 	5.91E-04	BMP2,PTX3,VCAM1	 
Doxo21 vs Doxo3	HIVEP1	 	transcription regulator	 	-1.982	bias	6.00E-04	IL1A,IL1B,TLR4,TNIP1	35 (7)
Doxo14 vs Cycling0	FOSL1	 	transcription regulator	 	1.328	 	6.04E-04	CSF3,CXCL8,IL1B,MMP1,PLXNB3,SERPINB2,THBD	65 (15)
Doxo14 vs Doxo3	FOS	 	transcription regulator	Activated	2.499	bias	6.15E-04	CSF3,CXCL8,FLRT2,FZD3,IL1A,IL1B,MMP1,SEMA3E,SERPINB2,SLAMF7,TREM1	47 (13)
Doxo21 vs Doxo3	CEBPB	 	transcription regulator	Activated	3.075	bias	6.27E-04	ALDH1A1,CP,CSF3,CXCL8,IL1A,IL1B,MMP1,PI3,SAA2,SBSN,SERPINA1,SERPINB2,TLR4	60 (20)
Doxo14 vs Cycling0	NFAT5	 	transcription regulator	 	-0.623	 	6.32E-04	ANXA3,BMP2,CCR7,CD28,CD36,CSF2,CSF3,FLT1,IL1B,LIF,NOX4,TLR4,TNFAIP3,VCAM1	71 (16)
Doxo14 vs Doxo3	TSC22D1	 	transcription regulator	 	 	 	6.39E-04	CXCL8,IL1B	 
Palbo14 vs Palbo3	ETV7	 	transcription regulator	 	 	 	6.47E-04	CFB,CXCL8,TNFAIP3	35 (7)
Palbo14 vs Palbo3	HLX	 	transcription regulator	 	 	 	6.47E-04	BMP2,CXCL8,PAPPA	 
Doxo21 vs Cycling0	IKZF2	 	transcription regulator	Inhibited	-2.000	bias	6.48E-04	CD28,CSF2,IKZF3,STAT4	 
Palbo14 vs Cycling0	MAFA	 	transcription regulator	 	 	 	6.48E-04	ABCC8,ALDH1A3,CCR7,CSF3,ESR1,IL1A,PTGER3	43 (7)
Palbo28 vs Cycling0	BCL10	 	transcription regulator	 	 	 	6.56E-04	CSF2,CXCL8,TNFAIP3	48 (13)
Doxo14 vs Cycling0	BCL10	 	transcription regulator	 	 	 	6.70E-04	CSF2,CXCL8,TNFAIP3	46 (14)
Palbo14 vs Cycling0	JUNB	 	transcription regulator	Activated	2.176	bias	6.72E-04	C5AR1,CSF2,CSF3,CXCL8,IL1B,MMP1,TNFRSF8	77 (12)
Palbo14 vs Cycling0	PPRC1	 	transcription regulator	 	1.961	bias	6.99E-04	CXCL8,IL13RA2,IL1A,SPX	 
Palbo14 vs Cycling0	EZH2	 	transcription regulator	Activated	2.331	 	7.08E-04	BMP2,C4BPB,CSF2,CSF3,CTNNA2,CXCL1,CXCL8,FLT1,LAMC2,NOX4,SAA1,SAA2,SERPINA1	64 (20)
Palbo14 vs Palbo3	WBP2	 	transcription regulator	Inhibited	-2.000	 	7.23E-04	CSF3,CXCL1,CXCL8,ESR1,IL1B	45 (10)
Palbo28 vs Palbo3	GFI1	 	transcription regulator	 	-0.849	bias	7.27E-04	CXCL8,IL1A,IL1B,SERPINA1,SERPINA3,STAT4	68 (13)
Doxo21 vs Cycling0	BCL10	 	transcription regulator	 	 	 	7.43E-04	CSF2,CXCL8,TNFAIP3	54 (14)
Doxo21 vs Cycling0	FOSL1	 	transcription regulator	 	1.328	 	7.44E-04	CSF3,CXCL8,IL1B,MMP1,PLXNB3,SERPINB2,THBD	75 (16)
Doxo14 vs Cycling0	SRF	 	transcription regulator	 	1.109	bias	7.70E-04	BMP2,CORIN,FLT1,GCKR,LIF,NEBL,NOX4,PCDH15,SERPINB10,SERPINB2,SERPIND1,TNNT2	 
Palbo28 vs Palbo3	NKX2-3	 	transcription regulator	 	1.173	 	7.80E-04	ADAP1,BMP2,CD36,CXCL8,FLRT2,TMEM100,VCAM1	 
Palbo28 vs Cycling0	MAML1	 	transcription regulator	 	 	 	7.82E-04	CXCL8,IL1A,IL1B	72 (12)
Doxo14 vs Cycling0	MAML1	 	transcription regulator	 	 	 	7.98E-04	CXCL8,IL1A,IL1B	70 (12)
Palbo28 vs Palbo3	ISL1	 	transcription regulator	 	1.342	bias	8.03E-04	ABCC8,CSF2,HOXC8,IL1A,IL1B	 
Palbo28 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.698	bias	8.47E-04	CALCRL,CCR7,CFB,CP,CSF2,CSF3,GLRX,IRAK2,LIF,SLAMF7,SORBS2	86 (14)
Palbo28 vs Palbo3	ECSIT	 	transcription regulator	 	 	 	8.72E-04	CXCL8,IL1B,TNFAIP3	57 (16)
Palbo28 vs Palbo3	FOSL2	 	transcription regulator	 	 	 	8.72E-04	CSF2,CXCL8,MMP1,SERPINB2	63 (17)
Palbo14 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.519	bias	8.81E-04	CALCRL,CCR7,CFB,CP,CSF2,CSF3,GLRX,IRAK2,LIF,SORBS2	74 (12)
Doxo21 vs Cycling0	MAML1	 	transcription regulator	 	 	 	8.84E-04	CXCL8,IL1A,IL1B	74 (12)
Doxo21 vs Doxo3	GFI1	 	transcription regulator	 	-0.849	bias	8.86E-04	CXCL8,IL1A,IL1B,SERPINA1,SERPINA3,STAT4	62 (13)
Doxo21 vs Cycling0	NFAT5	 	transcription regulator	 	-0.623	 	8.90E-04	ANXA3,BMP2,CCR7,CD28,CD36,CSF2,CSF3,FLT1,IL1B,LIF,NOX4,TLR4,TNFAIP3,VCAM1	76 (16)
Doxo14 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.698	bias	8.99E-04	CALCRL,CCR7,CFB,CP,CSF2,CSF3,GLRX,IRAK2,LIF,SLAMF7,SORBS2	82 (13)
Palbo14 vs Cycling0	NFKB2	 	transcription regulator	 	0.943	bias	9.16E-04	ALDH1A2,BMP2,CCR7,CXCL8,IL1B,SEMA3E,VCAM1	71 (17)
Palbo14 vs Palbo3	IRF3	 	transcription regulator	 	0.332	bias	9.21E-04	CXCL1,CXCL8,IL1A,IL1B,TNFAIP3,VCAM1	48 (15)
Palbo28 vs Palbo3	TSC22D1	 	transcription regulator	 	 	 	9.28E-04	CXCL8,IL1B	 
Palbo28 vs Palbo3	PRDM1	 	transcription regulator	 	0.578	 	9.36E-04	AFP,CSF2,CSF3,IL1A,IL1B,SERPINA3,SLCO2B1,STAT4	67 (16)
Doxo21 vs Doxo3	ISL1	 	transcription regulator	 	1.342	bias	9.52E-04	ABCC8,CSF2,HOXC8,IL1A,IL1B	 
Palbo14 vs Palbo3	BCL3	 	transcription regulator	 	 	 	9.80E-04	CXCL8,IL1A,IL1B,TNFAIP3	56 (22)
Doxo14 vs Doxo3	CEBPB	 	transcription regulator	Activated	2.778	bias	9.96E-04	CP,CSF3,CXCL8,IL1A,IL1B,MMP1,PI3,SAA2,SBSN,SEMA3E,SERPINB2	48 (17)
Palbo28 vs Palbo3	TRIM28	 	transcription regulator	 	-0.864	 	1.00E-03	CXCL1,CXCL8,IL13RA2,IL1B,LIF,SULF1	61 (21)
Doxo21 vs Doxo3	TSC22D1	 	transcription regulator	 	 	 	1.00E-03	CXCL8,IL1B	 
Doxo21 vs Doxo3	FOSL2	 	transcription regulator	 	 	 	1.00E-03	CSF2,CXCL8,MMP1,SERPINB2	60 (14)
Palbo14 vs Palbo3	NKX2-3	 	transcription regulator	 	1.655	 	1.01E-03	BMP2,CD36,CXCL8,FLRT2,TMEM100,VCAM1	 
Palbo14 vs Cycling0	ACTN4	 	transcription regulator	 	 	 	1.03E-03	CXCL8,IL1B,MMP1	68 (14)
Palbo28 vs Cycling0	EZH2	 	transcription regulator	Activated	2.514	 	1.04E-03	BMP2,C4BPB,CSF2,CSF3,CTNNA2,CXCL1,CXCL8,FLT1,LAMC2,NOX4,SAA1,SAA2,SERPINA1,SULF1	74 (19)
Doxo21 vs Cycling0	SRF	 	transcription regulator	 	1.109	bias	1.04E-03	BMP2,CORIN,FLT1,GCKR,LIF,NEBL,NOX4,PCDH15,SERPINB10,SERPINB2,SERPIND1,TNNT2	 
Doxo14 vs Doxo3	STAT1	 	transcription regulator	 	1.643	bias	1.04E-03	CFB,CSF2,CXCL1,CXCL8,GRIN2A,IL1A,IL1B,LIF,SAA2	46 (15)
Doxo14 vs Doxo3	WBP2	 	transcription regulator	 	-1.342	 	1.05E-03	ADAMTS14,CSF3,CXCL1,CXCL8,IL1B	33 (7)
Doxo14 vs Doxo3	FOXA2	 	transcription regulator	 	0.000	bias	1.06E-03	ABCC8,ACSL5,ACSL6,ADA,EHF,IL13RA2,MMP1,SLCO2B1,ST18	 
Palbo28 vs Cycling0	FLI1	 	transcription regulator	Activated	2.190	bias	1.06E-03	CSF2,CSF3,MMP1,PAPPA,PART1	 
Palbo28 vs Cycling0	YBX1	 	transcription regulator	Activated	2.236	bias	1.06E-03	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,PAPPA	82 (16)
Doxo21 vs Doxo3	RFX1	 	transcription regulator	 	0.218	 	1.07E-03	CXCL8,IL1A,IL1B,MAP1A	34 (9)
Palbo14 vs Palbo3	FOXL2	 	transcription regulator	 	1.987	bias	1.07E-03	BMP2,LIF,SERPINB2,TNFAIP3	 
Doxo14 vs Cycling0	TP63	 	transcription regulator	 	1.327	 	1.07E-03	ADA,ALDH1A3,COL9A2,CXCL8,FAT2,HLA-DPA1,HLA-DRB1,IL1A,IL1B,LAMC2,LIF,NEBL,PI3,SERPINB2,TG,UGT1A1,VNN1	86 (20)
Palbo28 vs Palbo3	FOXA2	 	transcription regulator	 	1.664	bias	1.07E-03	ABCC8,AFP,ALDH1A3,CD36,EHF,IL13RA2,MMP1,SLCO2B1,ST18,ZG16B	 
Palbo28 vs Cycling0	CEBPB	 	transcription regulator	Activated	3.103	bias	1.08E-03	ALDH1A1,ALDH1A2,CP,CSF3,CXCL8,H4C16,IL1A,IL1B,MMP1,PI3,SAA2,SBSN,SEMA3E,SERPINA1,SERPINB2,TLR4	92 (21)
Doxo21 vs Doxo3	ARID1A	 	transcription regulator	 	-1.125	 	1.08E-03	ALDH1A1,ARVCF,CD28,CEACAM1,CXCL1,CXCL8,IL1A,IL1B,PAPPA,SERPINA1,TNNT2	66 (19)
Palbo28 vs Cycling0	SP1	 	transcription regulator	Activated	2.779	bias	1.09E-03	ABCC8,ADA,CD28,CEACAM1,CXCL8,ESR1,FLT1,IL1A,IL1B,KCNQ3,MMP1,MST1R,NOX4,NOX5,THBD,TNFAIP3	80 (16)
Doxo14 vs Cycling0	FLI1	 	transcription regulator	Activated	2.190	bias	1.10E-03	CSF2,CSF3,MMP1,PAPPA,PART1	 
Palbo28 vs Cycling0	NCOA2	 	transcription regulator	 	0.113	bias	1.10E-03	BMP2,CCR7,IL1A,IL1B,LIF,PCSK5,SLC3A1,TMEM100	78 (19)
Doxo14 vs Cycling0	YBX1	 	transcription regulator	Activated	2.236	bias	1.11E-03	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,PAPPA	79 (15)
Doxo14 vs Cycling0	EZH2	 	transcription regulator	Activated	2.514	 	1.12E-03	BMP2,C4BPB,CSF2,CSF3,CTNNA2,CXCL1,CXCL8,FLT1,LAMC2,NOX4,SAA1,SAA2,SERPINA1,SULF1	74 (20)
Palbo28 vs Cycling0	IFI16	 	transcription regulator	 	1.387	bias	1.13E-03	CD28,CXCL8,ESR1,IL1B,VCAM1	64 (12)
Palbo28 vs Cycling0	VDR	 	transcription regulator	 	-0.066	 	1.13E-03	BMP2,CD36,CSF2,CXCL8,IL1A,IL1B,SLC51A,STAT4,THBD,TMEM100	88 (18)
Palbo14 vs Palbo3	MIB2	 	transcription regulator	 	 	 	1.15E-03	CXCL8,TNFAIP3	33 (7)
Palbo14 vs Palbo3	HOXB7	 	transcription regulator	 	 	 	1.15E-03	CXCL1,CXCL8	19 (7)
Doxo14 vs Cycling0	NCOA2	 	transcription regulator	 	0.113	bias	1.15E-03	BMP2,CCR7,IL1A,IL1B,LIF,PCSK5,SLC3A1,TMEM100	72 (17)
Doxo14 vs Doxo3	IKZF2	 	transcription regulator	 	 	 	1.15E-03	CD28,CSF2,STAT4	 
Doxo14 vs Cycling0	CEBPB	 	transcription regulator	Activated	3.103	bias	1.16E-03	ALDH1A1,ALDH1A2,CP,CSF3,CXCL8,H4C16,IL1A,IL1B,MMP1,PI3,SAA2,SBSN,SEMA3E,SERPINA1,SERPINB2,TLR4	86 (20)
Palbo14 vs Palbo3	ATF4	 	transcription regulator	Activated	2.164	bias	1.16E-03	CXCL1,CXCL8,IGFBP2,NOX4,PTX3,TNIP1	33 (7)
Palbo28 vs Palbo3	GPS2	 	transcription regulator	Inhibited	-2.000	bias	1.16E-03	CXCL1,CXCL8,IL1B,VCAM1	58 (19)
Doxo14 vs Cycling0	IFI16	 	transcription regulator	 	1.387	bias	1.16E-03	CD28,CXCL8,ESR1,IL1B,VCAM1	62 (12)
Palbo14 vs Palbo3	NOTCH1	 	transcription regulator	 	-1.320	 	1.18E-03	ALDH1A1,BMP2,CXCL1,CXCL8,IGFBP2,IL1A,MMP1	54 (20)
Doxo14 vs Cycling0	VDR	 	transcription regulator	 	-0.066	 	1.19E-03	BMP2,CD36,CSF2,CXCL8,IL1A,IL1B,SLC51A,STAT4,THBD,TMEM100	90 (19)
Doxo21 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.698	bias	1.19E-03	CALCRL,CCR7,CFB,CP,CSF2,CSF3,GLRX,IRAK2,LIF,SLAMF7,SORBS2	89 (14)
Doxo14 vs Doxo3	MYB	 	transcription regulator	 	-1.067	bias	1.23E-03	ADA,CSF2,CSF3,IL1A,LIF,MMP1	38 (16)
Palbo28 vs Cycling0	PPRC1	 	transcription regulator	 	1.961	bias	1.27E-03	CXCL8,IL13RA2,IL1A,SPX	 
Doxo21 vs Cycling0	FLI1	 	transcription regulator	Activated	2.190	bias	1.28E-03	CSF2,CSF3,MMP1,PAPPA,PART1	 
Palbo14 vs Cycling0	NFKBIB	 	transcription regulator	 	1.969	bias	1.28E-03	CXCL1,CXCL8,IL1B,VCAM1	56 (17)
Palbo14 vs Cycling0	ID1	 	transcription regulator	 	1.633	 	1.29E-03	ABI3BP,ALDH1A1,CEACAM1,STAT4,STRA6,TG	 
Palbo28 vs Palbo3	SMAD5	 	transcription regulator	 	 	 	1.29E-03	BMP2,PTX3,VCAM1	 
Doxo14 vs Cycling0	PPRC1	 	transcription regulator	 	1.961	bias	1.30E-03	CXCL8,IL13RA2,IL1A,SPX	 
Palbo3 vs Cycling0	HLX	 	transcription regulator	 	 	 	1.31E-03	BMP2,KYNU,PAPPA	 
Palbo14 vs Palbo3	ARRB1	 	transcription regulator	 	 	 	1.32E-03	CXCL8,IL1B,VCAM1	52 (22)
Palbo14 vs Cycling0	WBP2	 	transcription regulator	 	-1.342	 	1.34E-03	ADAMTS14,CSF3,CXCL1,CXCL8,ESR1,IL1B	55 (7)
Palbo14 vs Cycling0	VDR	 	transcription regulator	 	-0.342	 	1.35E-03	BMP2,CD36,CSF2,CXCL8,IL1A,IL1B,SLC51A,STAT4,TMEM100	65 (14)
Doxo14 vs Doxo3	HOXB7	 	transcription regulator	 	 	 	1.35E-03	CXCL1,CXCL8	22 (7)
Doxo21 vs Cycling0	YBX1	 	transcription regulator	Activated	2.236	bias	1.36E-03	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,PAPPA	89 (16)
Doxo21 vs Cycling0	IFI16	 	transcription regulator	 	1.387	bias	1.36E-03	CD28,CXCL8,ESR1,IL1B,VCAM1	66 (12)
Doxo3 vs Cycling0	FOS	 	transcription regulator	 	1.949	bias	1.37E-03	ABCG8,ALDH1A3,CSF3,FLRT2,FZD3,IKZF3,IL1A,IL1B,MMP1,SEMA3E,SLAMF7,TREM1,VCAM1	67 (15)
Palbo14 vs Palbo3	GFI1	 	transcription regulator	 	 	 	1.37E-03	CXCL8,IL1A,IL1B,SERPINA1,SERPINA3	55 (15)
Palbo14 vs Cycling0	NFE2L2	 	transcription regulator	 	-0.208	bias	1.38E-03	ACSL5,BMP2,C5AR1,CD36,CP,CXCL8,IL1A,IL1B,JPH2,LIF,MST1R,SERPIND1,SLC16A2,SLC3A1,UGT1A1,VCAM1	84 (17)
Palbo14 vs Palbo3	ATF5	 	transcription regulator	 	 	 	1.40E-03	SAA1,SAA2	 
Palbo28 vs Palbo3	CEBPB	 	transcription regulator	Activated	2.929	bias	1.44E-03	ALDH1A1,CSF3,CXCL8,IL1A,IL1B,MMP1,PI3,SAA2,SBSN,SEMA3E,SERPINA1,SERPINB2	63 (19)
Doxo21 vs Cycling0	NCOA2	 	transcription regulator	 	0.113	bias	1.44E-03	BMP2,CCR7,IL1A,IL1B,LIF,PCSK5,SLC3A1,TMEM100	81 (19)
Palbo28 vs Palbo3	SP1	 	transcription regulator	Activated	2.219	bias	1.46E-03	ABCC8,CD28,CEACAM1,CXCL8,IL1A,IL1B,KCNQ3,MMP1,NOX4,NOX5,THBD,TNFAIP3	58 (16)
Doxo21 vs Cycling0	PPRC1	 	transcription regulator	 	1.961	bias	1.48E-03	CXCL8,IL13RA2,IL1A,SPX	 
Doxo14 vs Doxo3	SRF	 	transcription regulator	 	 	 	1.54E-03	CORIN,GCKR,LIF,PCDH15,SERPINB10,SERPINB2,SERPIND1,TNNT2	 
Doxo21 vs Cycling0	VDR	 	transcription regulator	 	-0.066	 	1.55E-03	BMP2,CD36,CSF2,CXCL8,IL1A,IL1B,SLC51A,STAT4,THBD,TMEM100	90 (18)
Doxo14 vs Doxo3	TBX3	 	transcription regulator	Activated	2.449	bias	1.55E-03	ABCC8,ADAMTS14,DAAM2,HCN4,IL4I1,PTGER3	 
Palbo14 vs Cycling0	TSC22D1	 	transcription regulator	 	 	 	1.56E-03	CXCL8,IL1B	 
Doxo14 vs Doxo3	RBCK1	 	transcription regulator	 	 	 	1.56E-03	CXCL1,CXCL8,IL1A	34 (17)
Doxo21 vs Cycling0	EZH2	 	transcription regulator	Activated	2.514	 	1.56E-03	BMP2,C4BPB,CSF2,CSF3,CTNNA2,CXCL1,CXCL8,FLT1,LAMC2,NOX4,SAA1,SAA2,SERPINA1,SULF1	78 (20)
Doxo21 vs Doxo3	HLX	 	transcription regulator	 	 	 	1.58E-03	CXCL8,KYNU,PAPPA	 
Palbo28 vs Cycling0	ACTN4	 	transcription regulator	 	 	 	1.63E-03	CXCL8,IL1B,MMP1	77 (14)
Doxo14 vs Doxo3	ATF5	 	transcription regulator	 	 	 	1.65E-03	SAA1,SAA2	 
Doxo3 vs Cycling0	SMARCA4	 	transcription regulator	Activated	3.000	bias	1.65E-03	ALDH1A3,ARRDC4,CEACAM1,CP,EHF,IL1A,IL1B,IL36B,KCNQ3,MMP1,ODAPH,PTX3,TNFAIP3,TREM1	49 (10)
Palbo14 vs Palbo3	STAT6	 	transcription regulator	 	1.698	 	1.65E-03	FLRT2,IL13RA2,IL1A,IL1B,KMO,LIF,PARM1,TNFRSF8,VCAM1	55 (18)
Doxo14 vs Cycling0	ACTN4	 	transcription regulator	 	 	 	1.67E-03	CXCL8,IL1B,MMP1	75 (14)
Doxo21 vs Cycling0	CEBPB	 	transcription regulator	Activated	3.103	bias	1.67E-03	ALDH1A1,ALDH1A2,CP,CSF3,CXCL8,H4C16,IL1A,IL1B,MMP1,PI3,SAA2,SBSN,SEMA3E,SERPINA1,SERPINB2,TLR4	84 (18)
Doxo21 vs Cycling0	SP1	 	transcription regulator	Activated	2.779	bias	1.70E-03	ABCC8,ADA,CD28,CEACAM1,CXCL8,ESR1,FLT1,IL1A,IL1B,KCNQ3,MMP1,MST1R,NOX4,NOX5,THBD,TNFAIP3	82 (16)
Palbo14 vs Cycling0	ILF3	 	transcription regulator	 	-0.447	bias	1.73E-03	ALDH1A2,CXCL1,CXCL8,IL1B,STAT4	50 (7)
Doxo14 vs Cycling0	FOS	 	transcription regulator	Activated	2.190	bias	1.73E-03	ABCG8,ALDH1A3,CSF3,CXCL8,FLRT2,FZD3,IKZF3,IL1A,IL1B,MMP1,SEMA3E,SERPINB2,SLAMF7,TREM1,VCAM1	83 (17)
Palbo28 vs Cycling0	POU2F1	 	transcription regulator	 	 	 	1.74E-03	CXCL8,ESR1,SAA1,TLR4,TNFAIP3,VCAM1	 
