© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo14 vs Cycling0	YAP1	 	transcription regulator	 	1.192	bias	1.40E-03	ADGB,AREG,ATF3,BMPR1B,CAVIN2,CDKN1A,CYP11A1,DDIT3,DNASE1L3,EOMES,GDF15,INHBA,INPP5D,KITLG,LY75,PMAIP1	107 (13)
Palbo28 vs Palbo3	TP63	 	transcription regulator	 	1.250	 	1.42E-03	AREG,CAPN6,CDH3,CDKN1A,COL17A1,CSTA,FDXR,PPARGC1A,PTPRU,RASGRF1,SFN,SPATA18,ST8SIA6	41 (4)
Palbo28 vs Palbo3	MBD2	 	transcription regulator	 	 	 	1.44E-03	CDKN1A,CEL,PRLR,S100A5	 
Doxo14 vs Doxo3	MED1	 	transcription regulator	 	 	 	1.45E-03	ADCY5,GCK,HGF,LY6D,PRDM1	 
Palbo14 vs Cycling0	NCOR2	 	transcription regulator	 	 	 	1.45E-03	ADIPOQ,CDKN1A,CYP3A4,SEMA4D,SLC5A1	 
Doxo3 vs Cycling0	ATF4	 	transcription regulator	Activated	2.544	bias	1.49E-03	ATF3,CDKN1A,DDIT3,GCH1,GDF15,JAG1,KLHDC7B,PMAIP1,TIGIT	50 (7)
Doxo14 vs Cycling0	HIF1A	 	transcription regulator	 	1.996	bias	1.49E-03	ADIPOQ,ADORA2B,ATP6V0D2,BACH2,CAVIN2,CCN3,CDKN1A,EDNRA,ERBB4,FOLH1,HGF,KITLG,PGF,PLAC8,PMAIP1,TTN	93 (13)
Doxo3 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.655	bias	1.50E-03	ADIPOQ,ANXA10,ATP2A1,CDKN1A,COL7A1,CYP3A4,EDNRA,FAM167A,IFI30,INHBA,IRAG2,LINC00589,MC5R,NPFFR2,PMAIP1,SPANXD (includes others),SPINK1,WNT9A	 
Palbo28 vs Cycling0	WWTR1	 	transcription regulator	 	-0.152	 	1.52E-03	ATF3,CDKN1A,CYP11A1,DRAXIN,EOMES,GDF15,SLC8A1-AS1	 
Doxo14 vs Cycling0	EOMES	1.708	transcription regulator	 	0.394	 	1.53E-03	EOMES,FAT3,PRDM1,RND3,SV2B,TFPI2	 
Palbo14 vs Cycling0	SMARCA1	 	transcription regulator	 	 	 	1.55E-03	CDKN1A,SFN	6 (2)
Palbo14 vs Palbo3	MEF2C	 	transcription regulator	 	-1.408	 	1.55E-03	ATF3,ATP2A1,BACH2,CACNA1C,CDKN1A,PPARGC1A	 
Doxo14 vs Cycling0	WWTR1	 	transcription regulator	 	0.152	 	1.63E-03	ATF3,CDKN1A,CYP11A1,DRAXIN,EOMES,GDF15,INHBA,ITIH2	 
Palbo14 vs Palbo3	HIF1A	 	transcription regulator	 	0.431	 	1.65E-03	ADIPOQ,ATP6V0D2,BACH2,CAVIN2,CDKN1A,EDNRA,ERBB4,FOLH1,GCK,KITLG,PGF,PLAC8	43 (8)
Palbo28 vs Palbo3	MEF2C	 	transcription regulator	Inhibited	-2.390	 	1.68E-03	ATP2A1,BACH2,CACNA1C,CDKN1A,PPARGC1A,TTN	 
Doxo3 vs Cycling0	BRCA1	 	transcription regulator	 	1.046	 	1.73E-03	CDH3,CDKN1A,CYP3A4,DDB2,DDIT3,FXYD3,GDF15,SFN	90 (9)
Palbo28 vs Palbo3	YAP1	 	transcription regulator	 	0.923	 	1.79E-03	AREG,BMPR1B,CDKN1A,COL7A1,CYP11A1,DNASE1L3,EOMES,GDF15,KITLG,LY75,SFN,UCP2	17 (3)
Palbo14 vs Palbo3	CEBPA	 	transcription regulator	 	0.703	 	1.81E-03	ADIPOQ,CDKN1A,CYP11A1,CYP3A4,GCH1,ITGAM,NR1I2,PPARGC1A,PPL,PRLR	41 (10)
Palbo3 vs Cycling0	BRCA1	 	transcription regulator	 	-0.512	 	1.83E-03	AREG,CDH3,CYP3A4,FXYD3,GDF15,SFN	12 (2)
Palbo28 vs Cycling0	SMARCA1	 	transcription regulator	 	 	 	1.83E-03	CDKN1A,SFN	41 (4)
Palbo28 vs Cycling0	SMARCD1	 	transcription regulator	 	 	 	1.83E-03	BTG2,CDKN1A	 
Palbo14 vs Palbo3	SP1	 	transcription regulator	 	-0.116	 	1.83E-03	ACSS1,ATF3,CDKN1A,CYP11A1,GDF15,ITGAM,MELTF-AS1,PRLR,RNLS,SLC5A1,TFPI2,WNT9A	19 (3)
Doxo21 vs Cycling0	ATF4	 	transcription regulator	Activated	2.544	bias	1.87E-03	ATF3,CDKN1A,DDIT3,GCH1,GDF15,KLHDC7B,PMAIP1,TIGIT	33 (4)
Palbo14 vs Cycling0	MBD2	 	transcription regulator	 	0.218	 	1.87E-03	CDKN1A,CEL,DDB2,S100A5	 
Doxo14 vs Cycling0	RELA	 	transcription regulator	Activated	2.312	bias	1.92E-03	BACH2,BEX2,BTG2,CDKN1A,CYBB,CYP3A4,DDIT3,EOMES,GCH1,GDF15,PMAIP1,PRDM1,RAB3IL1,TFPI2	61 (9)
Doxo21 vs Cycling0	MEF2C	 	transcription regulator	Activated	2.390	bias	1.93E-03	ATF3,ATP2A1,BACH2,CACNA1C,CDKN1A,PPARGC1A,TTN	 
Palbo28 vs Cycling0	HDAC4	 	transcription regulator	 	 	 	1.96E-03	ATF3,CACNA1C,CDKN1A,DRP2,GABRG3,LGI1	30 (4)
Palbo28 vs Cycling0	SMARCA4	 	transcription regulator	 	-1.228	 	1.96E-03	ADIPOQ,CDKN1A,COL7A1,CYP3A4,EDNRA,HHIP,HYI,IFI30,IRAG2,MC5R,NPFFR2,PMAIP1,SPHK1,SPINK1	50 (5)
Doxo14 vs Cycling0	LEF1	 	transcription regulator	 	-0.711	 	2.02E-03	ADIPOQ,CDKN1A,DNASE1L3,GNAO1,KCNJ3,LY6D,PMAIP1,PRDM1,ST14,VSTM2A	 
Palbo28 vs Cycling0	SOX30	 	transcription regulator	 	-0.450	 	2.04E-03	ADAM29,CDKN1A,PMAIP1,PPM1J	 
Doxo21 vs Cycling0	ZNF148	 	transcription regulator	 	 	 	2.04E-03	CDKN1A,ITGAM,RNLS	 
Palbo14 vs Cycling0	SREBF1	 	transcription regulator	 	-1.782	 	2.06E-03	ADIPOQ,CDKN1A,GCK,IFI30,MDK,MTTP,TTN,UCP2	 
Palbo14 vs Palbo3	EBF4	 	transcription regulator	 	 	 	2.07E-03	CDKN1A,EOMES	 
Palbo28 vs Cycling0	Rhox5	 	transcription regulator	 	 	 	2.09E-03	ADIPOQ,BACH2,PTPRU	 
Palbo28 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.339	 	2.13E-03	ATF3,CYBB,CYP11A1,CYP3A4,EOMES,IPCEF1,LY75,PLAC8,RND3	 
Palbo28 vs Palbo3	EBF4	 	transcription regulator	 	 	 	2.14E-03	CDKN1A,EOMES	 
Palbo28 vs Cycling0	RNF2	 	transcription regulator	 	 	 	2.16E-03	CDKN1A,EOMES,GDF15,TMEFF2	 
Doxo21 vs Doxo3	SMAD4	 	transcription regulator	Inhibited	-2.411	 	2.20E-03	BTLA,CDH3,COL7A1,INHBA,INPP5D,JAG1,VIP	26 (6)
Palbo28 vs Palbo3	NKX2-1	 	transcription regulator	 	 	 	2.21E-03	AREG,FXYD3,HCK,KITLG,SCN7A,TOX	 
Palbo14 vs Palbo3	PIAS1	 	transcription regulator	 	0.686	 	2.23E-03	CDKN1A,CYP11A1,SNAP91,UNC13C	 
Doxo21 vs Cycling0	NFIC	 	transcription regulator	 	-0.218	bias	2.27E-03	CDKN1A,CEL,CYP11A1,DDIT3,PLAC8,SPINK1	 
Palbo14 vs Cycling0	MED1	 	transcription regulator	 	0.555	 	2.30E-03	ADAMTS18,ADIPOQ,CDKN1A,CYP11A1,GCK,LY6D,MYH16	 
Doxo21 vs Doxo3	NEUROG1	 	transcription regulator	 	 	 	2.31E-03	DCX,INHBA,TMEFF2	 
Palbo14 vs Palbo3	TFAP2C	 	transcription regulator	 	 	 	2.34E-03	CDKN1A,CYP11A1,EOMES,KITLG	 
Doxo21 vs Cycling0	MYOCD	 	transcription regulator	 	1.475	bias	2.34E-03	CACNA1C,CDKN1A,DDIT3,KCNJ3,TTN	 
Doxo3 vs Cycling0	EOMES	2.921	transcription regulator	 	1.051	 	2.36E-03	EOMES,FAT3,FZD8,PRDM1,RND3,SV2B	 
Palbo28 vs Palbo3	PIAS1	 	transcription regulator	 	0.686	 	2.37E-03	CDKN1A,CYP11A1,SNAP91,UNC13C	 
Doxo21 vs Doxo3	FOXO1	 	transcription regulator	 	-1.935	bias	2.40E-03	ATP6V0D2,DCX,EOMES,JAG1,PPARGC1A,PRDM1,SFN	 
Doxo21 vs Doxo3	RNF2	 	transcription regulator	 	 	 	2.41E-03	EOMES,GDF15,TMEFF2	 
Doxo21 vs Doxo3	FOXA2	 	transcription regulator	 	-1.412	bias	2.43E-03	ADCY5,APOBR,CIMAP3,DCX,INHBA,SMOC1,UCP2	 
Palbo28 vs Cycling0	SIRT1	 	transcription regulator	 	1.320	 	2.44E-03	ADIPOQ,CDKN1A,CPB1,FCMR,HCK,LAPTM5,PMAIP1,RIMS2,SLC36A2,UCP2,WNT2	24 (3)
Palbo28 vs Palbo3	TFAP2C	 	transcription regulator	 	 	 	2.48E-03	CDKN1A,CYP11A1,EOMES,KITLG	 
Palbo14 vs Cycling0	SMARCA4	 	transcription regulator	 	-0.714	 	2.54E-03	ADIPOQ,ATP2A1,CDKN1A,COL7A1,CYP3A4,HYI,IFI30,IRAG2,LINC00589,NPFFR2,SPANXD (includes others),SPHK1,SPINK1	 
Doxo14 vs Cycling0	SOX11	 	transcription regulator	 	1.567	bias	2.55E-03	BMPR1B,DCX,DRAXIN,ERBB4,FCMR,FOLH1,PRDM1	 
Doxo21 vs Cycling0	SMARCD1	 	transcription regulator	 	 	 	2.57E-03	BTG2,CDKN1A	 
Palbo14 vs Palbo3	GLI2	 	transcription regulator	 	0.277	 	2.62E-03	ATP2A1,CDKN1A,CSTA,HHIP,LAPTM5	 
Palbo28 vs Cycling0	TP53	 	transcription regulator	Inhibited	-2.297	 	2.63E-03	ACER2,AEN,ATF3,BTG2,BTK,CDH3,CDKN1A,CEL,COL7A1,DDB2,DINOL,EDNRA,FDXR,FXYD3,GDF15,HERC5,HHIP,IFI30,IRAG2,MMP23B,MYH16,NPFFR2,PMAIP1,PTCHD4,PTPRU,RND3,SFN,SHROOM3,SPHK1,ST14,TEX15,THBS4,TYMSOS,WNT2	69 (11)
Doxo14 vs Cycling0	SMARCA5	 	transcription regulator	Inhibited	-2.449	bias	2.73E-03	AEN,CDKN1A,PLAC8,PMAIP1,RTP4,VWCE	 
Doxo3 vs Cycling0	WWTR1	 	transcription regulator	 	0.152	 	2.79E-03	ATF3,CDKN1A,CYP11A1,DRAXIN,EOMES,GDF15,INHBA,ITIH2	 
Palbo28 vs Palbo3	NFIC	 	transcription regulator	 	0.447	 	2.80E-03	CDKN1A,CEL,CYP11A1,PLAC8,SPINK1	 
Palbo28 vs Palbo3	RBPJ	 	transcription regulator	 	0.000	 	2.81E-03	BTG2,CDKN1A,CYP11A1,KITLG,MDK,PGF,PLAC8	 
Doxo14 vs Doxo3	NKX2-2	 	transcription regulator	 	 	 	2.86E-03	GCK,PPY	3 (2)
Palbo28 vs Cycling0	TRIM29	 	transcription regulator	 	 	 	2.91E-03	CDKN1A,PMAIP1	 
Palbo28 vs Cycling0	EBF4	 	transcription regulator	 	 	 	2.91E-03	CDKN1A,EOMES	 
Doxo3 vs Cycling0	ZBTB17	 	transcription regulator	 	 	 	2.92E-03	CDKN1A,DDB2,DDIT3,EDA2R,PMAIP1	94 (9)
Palbo28 vs Palbo3	BHLHE40	 	transcription regulator	Activated	2.781	 	2.92E-03	CYBB,CYP11A1,CYP3A4,EOMES,IPCEF1,LY75,PLAC8,RND3	 
Doxo14 vs Doxo3	TP63	 	transcription regulator	Inhibited	-2.193	 	2.96E-03	CDH3,CSTA,FZD8,HGF,JAG1,PTPRU,SFN,ST8SIA6	 
Doxo14 vs Doxo3	FOXC1	 	transcription regulator	 	1.000	bias	2.98E-03	CSTA,IFI30,OSTN,SFN	 
Doxo21 vs Doxo3	SMAD3	 	transcription regulator	Inhibited	-2.213	bias	2.99E-03	COL7A1,FZD8,INPP5D,JAG1,PPARGC1A,VIP	35 (8)
Palbo14 vs Palbo3	TERF2	 	transcription regulator	 	 	 	3.01E-03	CDKN1A,GDF15	13 (3)
Palbo14 vs Palbo3	STAT3	 	transcription regulator	 	0.562	 	3.01E-03	ADIPOQ,AREG,ATP6V0D2,BACH2,BEX2,CDKN1A,EOMES,IFI30,ITGAM,PPARGC1A,RNLS,TFPI2,TIGIT,TOX	56 (13)
Doxo21 vs Cycling0	HIC1	 	transcription regulator	 	-1.000	 	3.03E-03	ADORA2B,CCN3,CDKN1A,INHBA	 
Palbo14 vs Cycling0	PIAS1	 	transcription regulator	 	0.686	 	3.06E-03	CDKN1A,CYP11A1,SNAP91,UNC13C	 
Doxo21 vs Cycling0	SPIB	 	transcription regulator	Activated	2.200	bias	3.07E-03	ARMC3,ATF3,BTK,COL17A1,GNA15	 
Doxo14 vs Cycling0	SMARCD1	 	transcription regulator	 	 	 	3.08E-03	BTG2,CDKN1A	 
Palbo28 vs Palbo3	TERF2	 	transcription regulator	 	 	 	3.10E-03	CDKN1A,GDF15	13 (3)
Palbo14 vs Palbo3	EGR1	 	transcription regulator	 	-0.158	 	3.13E-03	AREG,ATF3,CDKN1A,GDF15,ITGAM,UFSP1	19 (3)
Palbo14 vs Cycling0	BRCA1	 	transcription regulator	 	-1.315	 	3.15E-03	CDH3,CDKN1A,CYP3A4,DDB2,GDF15,SFN	 
Doxo14 vs Cycling0	IRF2BP2	 	transcription regulator	Inhibited	-2.449	bias	3.18E-03	DNASE1L3,FYB1,GABRG3,LY6D,PLEK,STAP1	 
Doxo3 vs Cycling0	RUNX1	 	transcription regulator	 	0.318	bias	3.18E-03	ATF3,BTG2,CDKN1A,CYP11A1,DDIT3,GNA15,ITGA9,PLEK,PMAIP1,UPP1	54 (6)
Doxo14 vs Cycling0	MEF2C	 	transcription regulator	Activated	2.390	bias	3.19E-03	ATF3,ATP2A1,BACH2,CACNA1C,CDKN1A,PPARGC1A,TTN	 
Palbo28 vs Cycling0	PRDM1	-0.340	transcription regulator	 	-0.137	 	3.27E-03	BTK,BTLA,HCK,ITGAM,PLAC8,PMAIP1,ST14,TIGIT	 
Palbo14 vs Palbo3	TCF3	 	transcription regulator	 	-1.922	 	3.30E-03	ADIPOQ,AREG,ATF3,BACH2,CDKN1A,CYP11A1,PLAC8,PTPRU,TOX	9 (2)
Doxo14 vs Cycling0	GATA2	 	transcription regulator	 	-0.426	bias	3.37E-03	CCN3,CDKN1A,CEL,COL17A1,CYBB,CYP11A1,EDNRA,INKA2,LY6D,MDK,MYO18B,PLB1	 
Doxo14 vs Cycling0	SMAD4	 	transcription regulator	 	1.833	 	3.37E-03	AREG,BTLA,CDH3,CDKN1A,HGF,IL22RA1,INHBA,INPP5D,ITGA9,KITLG,S1PR4,VIP	84 (11)
Doxo14 vs Doxo3	MAFK	 	transcription regulator	 	 	 	3.38E-03	GCK,PRDM1	 
Doxo14 vs Cycling0	CDX2	 	transcription regulator	 	0.665	bias	3.40E-03	CDH17,CDKN1A,FXYD3,PRDM1,SLC15A1,SLC26A3,SLC5A1	 
Doxo14 vs Cycling0	MYOCD	 	transcription regulator	 	1.475	bias	3.46E-03	CACNA1C,CDKN1A,DDIT3,KCNJ3,TTN	 
Palbo14 vs Palbo3	EZH2	 	transcription regulator	 	0.277	 	3.47E-03	AREG,ATF3,BMPR1B,CDKN1A,EOMES,ERBB4,GDF15,KITLG,PGF,SFN	39 (3)
Palbo28 vs Palbo3	STAT3	 	transcription regulator	 	0.771	 	3.48E-03	ADIPOQ,AREG,BACH2,BTLA,CDKN1A,EOMES,HERC5,IFI30,ISM1,PPARGC1A,RNASE7,TIGIT,TOX,VIP	42 (6)
Doxo14 vs Doxo3	TFEB	 	transcription regulator	 	 	 	3.51E-03	ATP6V0D2,COL5A3,EOMES,IFI30,JAG1,UPP1	 
Palbo14 vs Palbo3	MDM4	 	transcription regulator	 	 	 	3.51E-03	CDKN1A,FAT3,PTCHD4	 
Doxo3 vs Cycling0	HIF1A	 	transcription regulator	 	1.996	bias	3.53E-03	ADIPOQ,ADORA2B,ATP6V0D2,BACH2,CAVIN2,CCN3,CDKN1A,EDNRA,ERBB4,FOLH1,HGF,HIF3A,PGF,PLAC8,PMAIP1,TTN	100 (14)
Palbo14 vs Palbo3	TCF21	 	transcription regulator	 	 	 	3.54E-03	CDKN1A,CYP11A1	9 (2)
Doxo14 vs Cycling0	NFIC	 	transcription regulator	 	-0.218	bias	3.55E-03	CDKN1A,CEL,CYP11A1,DDIT3,PLAC8,SPINK1	 
Doxo14 vs Cycling0	PPARGC1A	1.794	transcription regulator	 	1.219	bias	3.55E-03	ADIPOQ,ATP2B2,CDKN1A,CYP11A1,CYP3A4,GDF15,GNAO1,INHBA,ISM1,PMAIP1,PPARGC1A,RIMS4,VSTM2A	84 (12)
Palbo14 vs Cycling0	TERF2	 	transcription regulator	 	 	 	3.57E-03	CDKN1A,GDF15	 
Doxo21 vs Cycling0	IRF8	 	transcription regulator	 	1.054	bias	3.58E-03	ATF3,CDKN1A,CYBB,GABRG3,GNA15,ITGAM,PMAIP1	98 (12)
Palbo14 vs Palbo3	TP63	 	transcription regulator	 	0.327	 	3.61E-03	ADAMTS18,APOBEC3H,AREG,CAVIN2,CDH3,CDKN1A,CSTA,FDXR,PPARGC1A,PTPRU,RASGRF1,SFN	44 (4)
Doxo3 vs Cycling0	SMARCA1	 	transcription regulator	 	 	 	3.64E-03	CDKN1A,SFN	57 (3)
Doxo3 vs Cycling0	SMARCD1	 	transcription regulator	 	 	 	3.64E-03	BTG2,CDKN1A	 
Palbo28 vs Palbo3	TCF21	 	transcription regulator	 	 	 	3.65E-03	CDKN1A,CYP11A1	 
Palbo28 vs Palbo3	MDM4	 	transcription regulator	 	 	 	3.68E-03	CDKN1A,FAT3,PTCHD4	 
Doxo3 vs Cycling0	TRIM28	 	transcription regulator	 	1.134	bias	3.73E-03	CYP11A1,ERBB4,ESR2,GDF15,INHBA,PMAIP1,RSPO2	 
Palbo3 vs Cycling0	PPRC1	 	transcription regulator	 	 	 	3.75E-03	GDF15,SPINK1,SUN3	 
Doxo3 vs Cycling0	ERF	 	transcription regulator	 	 	 	3.76E-03	COL17A1,COL7A1,NOTCH4	 
Doxo21 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.078	bias	3.76E-03	ADIPOQ,ATP2A1,CDKN1A,CYP3A4,EDNRA,IFI30,INHBA,IRAG2,LINC00589,MC5R,NPFFR2,PMAIP1,SPANXD (includes others),SPINK1,WNT9A	85 (7)
Doxo14 vs Cycling0	TAF4	 	transcription regulator	 	0.000	bias	3.79E-03	AREG,CDH3,DDIT3,PPARGC1A,WNT9A	 
Doxo21 vs Cycling0	SOX30	 	transcription regulator	 	1.949	bias	3.81E-03	ADAM29,CDKN1A,PMAIP1,PPM1J	 
Doxo21 vs Cycling0	NEUROG1	 	transcription regulator	 	1.000	 	3.81E-03	CAVIN2,DCX,INHBA,TMEFF2	 
Palbo28 vs Palbo3	EZH2	 	transcription regulator	 	0.277	 	3.88E-03	AREG,BMPR1B,CDKN1A,COL7A1,EOMES,ERBB4,GDF15,KITLG,PGF,SFN	41 (5)
Palbo28 vs Palbo3	TFAP2A	 	transcription regulator	 	 	 	3.91E-03	CDKN1A,CHRNA3,COL7A1,CYP11A1,KITLG	 
Palbo3 vs Cycling0	KLF14	 	transcription regulator	 	 	 	3.94E-03	PPARGC1A,SPHK1	 
Doxo21 vs Cycling0	WWTR1	 	transcription regulator	 	0.686	 	4.00E-03	ATF3,CDKN1A,CYP11A1,DRAXIN,GDF15,INHBA,ITIH2	 
Doxo21 vs Doxo3	YAP1	 	transcription regulator	 	-0.447	bias	4.01E-03	COL7A1,DNASE1L3,EOMES,GDF15,INHBA,INPP5D,SFN,UCP2	38 (8)
Doxo21 vs Cycling0	TRIM29	 	transcription regulator	 	 	 	4.08E-03	CDKN1A,PMAIP1	 
Doxo21 vs Cycling0	MYF6	 	transcription regulator	 	 	 	4.10E-03	BRINP3,CDKN1A,ERFE,INHBA,OSTN	 
Palbo14 vs Palbo3	LCOR	 	transcription regulator	 	 	 	4.11E-03	CDKN1A,TFPI2	 
Doxo3 vs Cycling0	SMARCA5	 	transcription regulator	Inhibited	-2.449	bias	4.17E-03	AEN,CDKN1A,PLAC8,PMAIP1,RTP4,VWCE	 
Doxo14 vs Cycling0	HIC1	 	transcription regulator	 	-1.000	 	4.19E-03	ADORA2B,CCN3,CDKN1A,INHBA	 
Palbo14 vs Cycling0	TCF21	 	transcription regulator	 	 	 	4.20E-03	CDKN1A,CYP11A1	 
Palbo28 vs Cycling0	TERF2	 	transcription regulator	 	 	 	4.21E-03	CDKN1A,GDF15	 
Palbo28 vs Palbo3	FOXD3	 	transcription regulator	 	 	 	4.24E-03	CDKN1A,RND3	 
Doxo14 vs Cycling0	BRCA1	 	transcription regulator	 	-0.169	 	4.31E-03	AREG,CDH3,CDKN1A,CYP3A4,DDIT3,FXYD3,GDF15	68 (4)
Doxo14 vs Cycling0	NUPR1	 	transcription regulator	 	0.277	bias	4.31E-03	ACSS1,AEN,AREG,ATF3,BRINP3,DDIT3,GCH1,GDF15,H3C13,H3C15,PRAG1,SHROOM3,UPP1	35 (3)
Palbo28 vs Cycling0	SMARCA5	 	transcription regulator	 	0.447	 	4.35E-03	AEN,CDKN1A,PLAC8,PMAIP1,SMOC1	 
Doxo14 vs Cycling0	RELB	 	transcription regulator	 	0.963	bias	4.38E-03	APOBEC3H,CDKN1A,FYB1,PPL,PRDM1,TTN	 
Doxo21 vs Cycling0	NCOR2	 	transcription regulator	 	-1.131	bias	4.43E-03	ADIPOQ,CDKN1A,CYP3A4,PPARGC1A,SLC5A1	60 (6)
Doxo21 vs Cycling0	CREBZF	 	transcription regulator	 	 	 	4.44E-03	CYP11A1,DDIT3,PPARGC1A	39 (6)
Doxo21 vs Doxo3	ZEB2	 	transcription regulator	 	 	 	4.45E-03	ESRP1,HERC5,INPP5D	 
Palbo14 vs Palbo3	NCOA1	 	transcription regulator	 	 	 	4.45E-03	ADIPOQ,CDKN1A,CYP11A1,EOMES,PRLR	64 (15)
Palbo14 vs Palbo3	TAF4	 	transcription regulator	Inhibited	-2.000	 	4.51E-03	AREG,CDH3,PPARGC1A,WNT9A	 
Doxo3 vs Cycling0	NPM1	 	transcription regulator	Activated	2.449	bias	4.51E-03	CADM1,COL7A1,DDB2,FZD8,INHBA,JAG1,PGF	 
Palbo14 vs Cycling0	WWTR1	 	transcription regulator	 	 	 	4.57E-03	CDKN1A,CYP11A1,DRAXIN,GDF15,ITIH2,SLC8A1-AS1	 
Doxo21 vs Cycling0	PPARGC1A	1.050	transcription regulator	 	1.547	bias	4.59E-03	ADIPOQ,ATP2B2,CDKN1A,CYP11A1,CYP3A4,GDF15,GNAO1,INHBA,PMAIP1,PPARGC1A,RIMS4,VSTM2A	90 (16)
Doxo3 vs Cycling0	TCF4	 	transcription regulator	 	0.707	bias	4.64E-03	AEN,BACH2,CADM1,CDKN1A,GRB14,INHBA,JAG1,LY6D,NANOS1,PLAC8,PRDM1	 
Palbo14 vs Palbo3	PRDM1	0.122	transcription regulator	 	-0.946	 	4.71E-03	BTK,HCK,ITGAM,MYO18B,PLAC8,ST14,TIGIT	33 (6)
Palbo14 vs Palbo3	FOXG1	 	transcription regulator	 	 	 	4.72E-03	CDKN1A,GCK	 
Palbo14 vs Palbo3	JUN	 	transcription regulator	 	0.979	 	4.75E-03	ATF3,BEX2,CDKN1A,CSTA,CYP11A1,ITGAM,PADI3,RASGRF1,SH2D5,WNT9A	19 (3)
Doxo21 vs Cycling0	RBPJ	 	transcription regulator	 	-0.378	 	4.79E-03	BTG2,CDKN1A,CYP11A1,HGF,INHBA,MDK,PGF,PLAC8	 
Doxo21 vs Doxo3	FOXO3	 	transcription regulator	 	-1.990	 	4.81E-03	ATP6V0D2,INHBA,JAG1,PPARGC1A,PRDM1,UCP2	29 (8)
Palbo3 vs Cycling0	SPIB	 	transcription regulator	 	-1.964	 	4.83E-03	ARMC3,ATF3,BTK,COL17A1	 
Doxo3 vs Cycling0	IRF2BP2	 	transcription regulator	Inhibited	-2.449	bias	4.84E-03	DNASE1L3,FYB1,GABRG3,LY6D,PLEK,STAP1	 
Doxo14 vs Cycling0	TRIM29	 	transcription regulator	 	 	 	4.87E-03	CDKN1A,PMAIP1	 
Doxo14 vs Cycling0	EBF4	 	transcription regulator	 	 	 	4.87E-03	CDKN1A,EOMES	 
Palbo14 vs Cycling0	FOXD3	 	transcription regulator	 	 	 	4.87E-03	CDKN1A,RND3	 
Palbo28 vs Cycling0	IRF2BP2	 	transcription regulator	 	-1.342	 	4.95E-03	DNASE1L3,FYB1,GABRG3,LY6D,STAP1	 
Palbo28 vs Cycling0	TCF21	 	transcription regulator	 	 	 	4.95E-03	CDKN1A,CYP11A1	 
Doxo3 vs Cycling0	MYOCD	 	transcription regulator	 	1.475	bias	4.98E-03	CACNA1C,CDKN1A,DDIT3,KCNJ3,TTN	 
Palbo28 vs Palbo3	SP4	 	transcription regulator	 	 	 	4.98E-03	CDKN1A,CHRNA3,KITLG	 
Palbo14 vs Cycling0	PPRC1	 	transcription regulator	 	 	 	5.09E-03	GDF15,RND3,SPINK1	 
Doxo3 vs Cycling0	MEF2C	 	transcription regulator	Activated	2.390	bias	5.10E-03	ATF3,ATP2A1,BACH2,CACNA1C,CDKN1A,PPARGC1A,TTN	 
Palbo28 vs Palbo3	PRDM1	-0.161	transcription regulator	 	-0.509	 	5.13E-03	BTK,BTLA,FAM167A,HCK,PLAC8,ST14,TIGIT	 
Palbo3 vs Cycling0	HIRA	 	transcription regulator	 	 	 	5.15E-03	PGF,SPHK1	 
Doxo21 vs Cycling0	QKI	 	transcription regulator	 	1.213	bias	5.16E-03	ATP6V0D2,CDKN1A,ITGAM,PPARGC1A,THBS4	 
Doxo14 vs Cycling0	HLX	 	transcription regulator	 	 	 	5.25E-03	AREG,GDF15,PRDM1	 
Doxo14 vs Cycling0	SOX30	 	transcription regulator	 	1.949	bias	5.25E-03	ADAM29,CDKN1A,PMAIP1,PPM1J	 
Doxo14 vs Cycling0	NEUROG1	 	transcription regulator	 	1.000	 	5.25E-03	CAVIN2,DCX,INHBA,TMEFF2	 
Doxo21 vs Doxo3	KLF6	 	transcription regulator	Inhibited	-2.219	bias	5.30E-03	CYBB,GCH1,IFI30,PRDM1,UPP1	16 (3)
Doxo21 vs Cycling0	FOXO1	 	transcription regulator	Activated	2.220	bias	5.34E-03	ADIPOQ,ATP6V0D2,CCN3,CDKN1A,DCX,EDA2R,EPHA10,ITGAM,MTTP,PMAIP1,PPARGC1A	71 (14)
Doxo3 vs Cycling0	NFIC	 	transcription regulator	 	-0.218	bias	5.39E-03	CDKN1A,CEL,CYP11A1,DDIT3,PLAC8,SPINK1	40 (6)
Doxo21 vs Doxo3	NPM1	 	transcription regulator	Inhibited	-2.000	bias	5.41E-03	COL7A1,FZD8,INHBA,JAG1	 
Doxo3 vs Cycling0	CDX2	 	transcription regulator	 	0.665	bias	5.42E-03	CDH17,CDKN1A,FXYD3,PRDM1,SLC15A1,SLC26A3,SLC5A1	 
Palbo28 vs Palbo3	SREBF1	 	transcription regulator	 	-1.280	 	5.42E-03	ADIPOQ,CDKN1A,IFI30,MDK,MTTP,TTN,UCP2	17 (3)
